node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS
97;0;-129.35361400343152;-6.322714133512079;659.456;12;250;14;867500000;867500000;1919.6856513502412;16.56478578577581;RECEIVED
58;0;-110.73542448608353;12.295475383835907;370.688;10;125;14;868500000;868500000;761.9087871917478;9.31126157523423;RECEIVED
44;0;-117.52795493401217;5.502944935907266;185.344;9;125;14;868500000;868500000;1166.3297132457872;4.655630787617115;RECEIVED
50;0;-125.41320210446688;-2.3823022345474385;164.864;11;500;14;867900000;867900000;1161.0288540772792;4.141196446443953;RECEIVED
1;0;-137.0228030981581;-13.99190322823867;1318.912;12;125;14;867700000;867700000;1684.910086621835;33.12957157155162;LOST
62;0;-104.91252788330871;18.118371986610725;92.672;9;250;14;867900000;867900000;406.5907032877166;2.3278153938085575;RECEIVED
25;0;-106.27940531912807;16.751494550791364;185.344;10;250;14;867900000;867900000;830.2656201481548;4.655630787617115;RECEIVED
85;0;-113.20228620886688;9.828613661052557;14.144000000000002;7;500;14;867300000;867300000;1659.3989875855655;0.35528121687271497;RECEIVED
85;0;-139.14707085956692;-16.116170989647486;92.672;10;500;14;868100000;868100000;1659.3989875855655;2.3278153938085575;LOST
71;0;-110.75632245927028;12.274577410649158;659.456;12;250;14;868300000;868300000;659.9401488013895;16.56478578577581;RECEIVED
61;0;-126.03573194507575;-3.0048320751563153;46.336;9;500;14;867500000;867500000;1391.0370232312296;1.1639076969042788;RECEIVED
69;0;-108.62869123221667;14.40220863770277;329.728;12;500;14;868300000;868300000;1778.1858732989642;8.282392892887906;RECEIVED
26;0;-115.87770500167514;7.153194868244299;102.912;8;125;14;868500000;868500000;1413.6849012421403;2.5850325643951386;RECEIVED
55;0;-120.27670144253784;2.7541984273815956;102.912;8;125;14;868100000;868100000;1079.0240961164861;2.5850325643951386;RECEIVED
17;0;-119.97439557700798;3.0565042929114554;329.728;12;500;14;867100000;867100000;1281.5588164419141;8.282392892887906;RECEIVED
17;0;-111.96397097735539;11.06692889256405;185.344;10;250;14;867500000;867500000;1281.5588164419141;4.655630787617115;RECEIVED
46;0;-115.31921424221323;7.711685627706203;329.728;11;250;14;867900000;867900000;1554.4568183130723;8.282392892887906;RECEIVED
66;0;-118.37231992951234;4.658579940407094;164.864;11;500;14;868100000;868100000;1452.8816194033154;4.141196446443953;RECEIVED
76;0;-119.07848300760875;3.9524168623106846;14.144000000000002;7;500;14;867100000;867100000;1466.1272113974285;0.35528121687271497;RECEIVED
92;0;-107.3827043355068;15.648195534412636;185.344;9;125;14;868300000;868300000;1779.99157301376;4.655630787617115;RECEIVED
89;0;-128.12651680501577;-5.095616935096331;14.144000000000002;7;500;14;867100000;867100000;1309.8045655745746;0.35528121687271497;LOST
15;0;-125.86274097008393;-2.831841100164496;329.728;12;500;14;868100000;868100000;1908.8470342067749;8.282392892887906;RECEIVED
0;0;-117.46228190338721;5.56861796653223;1318.912;12;125;14;867700000;867700000;536.5901601781381;33.12957157155162;RECEIVED
59;0;-118.76423633503637;4.266663534883065;25.728;8;500;14;868100000;868100000;704.2627350641236;0.6462581410987847;RECEIVED
57;0;-115.0607793113056;7.970120558613843;46.336;9;500;14;868300000;868300000;1276.5657053203333;1.1639076969042788;RECEIVED
61;0;-106.28192622958372;16.74897364033572;46.336;9;500;14;867700000;867700000;1391.0370232312296;1.1639076969042788;RECEIVED
77;0;-107.1926268287389;15.838273041180543;370.688;10;125;14;867500000;867500000;1128.02171964905;9.31126157523423;RECEIVED
77;0;-117.70919412823662;5.32170574168282;28.288000000000004;7;250;14;868300000;868300000;1128.02171964905;0.7105624337454299;RECEIVED
10;0;-127.38304969096228;-4.352149821042843;28.288000000000004;7;250;14;867500000;867500000;1906.2470983584474;0.7105624337454299;LOST
65;0;-102.80330732252838;20.227592547391055;1318.912;12;125;14;867300000;867300000;461.8679464955324;33.12957157155162;RECEIVED
26;0;-127.72131505925034;-4.690415189330906;329.728;11;250;14;868300000;868300000;1413.6849012421403;8.282392892887906;RECEIVED
87;0;-122.51289785464905;0.5180020152703833;659.456;12;250;14;867700000;867700000;710.7460868692841;16.56478578577581;RECEIVED
83;0;-119.66298985214021;3.3679100177792236;185.344;10;250;14;867700000;867700000;1134.6365056704283;4.655630787617115;RECEIVED
15;0;-142.89080241372324;-19.8599025438038;51.456;8;250;14;868100000;868100000;1908.8470342067749;1.2925162821975693;LOST
55;0;-109.82334304398341;13.207556825936024;1318.912;12;125;14;867300000;867300000;1079.0240961164861;33.12957157155162;RECEIVED
98;0;-123.98948078872701;-0.95858091880757;14.144000000000002;7;500;14;867900000;867900000;1791.842068933532;0.35528121687271497;LOST
78;0;-106.80732478671715;16.22357508320229;56.57600000000001;7;125;14;868100000;868100000;1112.96046650364;1.4211248674908599;RECEIVED
37;0;-119.58583609829148;3.4450637716279573;92.672;10;500;14;867300000;867300000;1621.4320830673112;2.3278153938085575;RECEIVED
18;0;-137.12617127139202;-14.095271401472587;329.728;12;500;14;867300000;867300000;1730.353143147375;8.282392892887906;LOST
64;0;-113.4134738251378;9.617426044781638;185.344;9;125;14;867100000;867100000;1222.5207564700077;4.655630787617115;RECEIVED
66;0;-122.58281186013036;0.4480880097890747;164.864;11;500;14;867500000;867500000;1452.8816194033154;4.141196446443953;RECEIVED
60;0;-121.73750244459791;1.2933974253215297;51.456;8;250;14;868500000;868500000;1368.5148884831324;1.2925162821975693;RECEIVED
10;0;-118.71304273687969;4.317857133039752;164.864;11;500;14;867100000;867100000;1906.2470983584474;4.141196446443953;RECEIVED
49;0;-115.51821053067903;7.51268933924041;46.336;9;500;14;867100000;867100000;1324.5667216112595;1.1639076969042788;RECEIVED
31;0;-115.85168716285793;7.1792127070615095;659.456;12;250;14;868300000;868300000;1009.7573966057391;16.56478578577581;RECEIVED
85;0;-125.40277440147358;-2.371874531554141;51.456;8;250;14;867300000;867300000;1659.3989875855655;1.2925162821975693;RECEIVED
38;0;-124.4843696751831;-1.4534698052636656;14.144000000000002;7;500;14;867700000;867700000;1640.6696803439747;0.35528121687271497;LOST
50;0;-114.3429224958702;8.68797737404924;185.344;9;125;14;867900000;867900000;1161.0288540772792;4.655630787617115;RECEIVED
25;0;-118.41786586973544;4.613034000184001;14.144000000000002;7;500;14;868500000;868500000;830.2656201481548;0.35528121687271497;RECEIVED
2;0;-108.60274612194436;14.428153747975074;46.336;9;500;14;867500000;867500000;1208.1473420075881;1.1639076969042788;RECEIVED
71;0;-106.88676924349805;16.144130626421386;102.912;8;125;14;868300000;868300000;659.9401488013895;2.5850325643951386;RECEIVED
43;0;-101.33183122844723;21.69906864147221;659.456;12;250;14;867900000;867900000;347.8807266866045;16.56478578577581;RECEIVED
98;0;-111.84429052674845;11.186609343170986;28.288000000000004;7;250;14;868300000;868300000;1791.842068933532;0.7105624337454299;RECEIVED
57;0;-126.087658691261;-3.0567588213415604;185.344;10;250;14;868100000;868100000;1276.5657053203333;4.655630787617115;RECEIVED
59;0;-110.07554590972599;12.955353960193449;329.728;12;500;14;867500000;867500000;704.2627350641236;8.282392892887906;RECEIVED
41;0;-116.56944277233924;6.461457097580194;185.344;10;250;14;867500000;867500000;930.645474925871;4.655630787617115;RECEIVED
37;0;-122.0119991803947;1.0189006895247417;28.288000000000004;7;250;14;867500000;867500000;1621.4320830673112;0.7105624337454299;RECEIVED
67;0;-132.06125500857846;-9.030355138659019;92.672;9;250;14;867700000;867700000;1451.0013783590973;2.3278153938085575;LOST
37;0;-113.78337248420732;9.247527385712118;329.728;11;250;14;868300000;868300000;1621.4320830673112;8.282392892887906;RECEIVED
32;0;-118.65765940849482;4.373240461424615;14.144000000000002;7;500;14;868300000;868300000;616.1371600544801;0.35528121687271497;RECEIVED
47;0;-124.0452685799059;-1.0143687099864565;741.376;11;125;14;867700000;867700000;1152.1128416956387;18.62252315046846;RECEIVED
92;0;-119.96474787071526;3.0661519992041804;1318.912;12;125;14;867100000;867100000;1779.99157301376;33.12957157155162;RECEIVED
18;0;-127.74115374421561;-4.710253874296171;46.336;9;500;14;868300000;868300000;1730.353143147375;1.1639076969042788;LOST
99;0;-113.88194562547143;9.148954244448007;51.456;8;250;14;867500000;867500000;1235.4031730572817;1.2925162821975693;RECEIVED
25;0;-114.69857544242768;8.332324427491756;25.728;8;500;14;867300000;867300000;830.2656201481548;0.6462581410987847;RECEIVED
62;0;-113.3023297451728;9.72857012474664;741.376;11;125;14;867100000;867100000;406.5907032877166;18.62252315046846;RECEIVED
65;0;-111.26437315788979;11.766526712029645;46.336;9;500;14;867500000;867500000;461.8679464955324;1.1639076969042788;RECEIVED
93;0;-111.84162381765854;11.189276052260894;102.912;8;125;14;867100000;867100000;1738.2865126324832;2.5850325643951386;RECEIVED
35;0;-112.45127545143681;10.579624418482624;14.144000000000002;7;500;14;868500000;868500000;1585.598309787192;0.35528121687271497;RECEIVED
18;0;-118.87078962939694;4.160110240522499;56.57600000000001;7;125;14;867700000;867700000;1730.353143147375;1.4211248674908599;RECEIVED
71;0;-108.24199390144945;14.78890596846999;92.672;10;500;14;867100000;867100000;659.9401488013895;2.3278153938085575;RECEIVED
84;0;-115.47901163114389;7.551888238775547;46.336;9;500;14;868500000;868500000;732.5353233803814;1.1639076969042788;RECEIVED
43;0;-108.93456634929798;14.096333520621457;370.688;10;125;14;867300000;867300000;347.8807266866045;9.31126157523423;RECEIVED
