node_id,x,y,cluster_id,role,residual_energy_J,alive
2,712,1246,0,CM,0.995132,YES
3,985,1222,0,CM,0.998727,YES
4,1435,1039,0,CM,0.998478,YES
12,522,868,0,CM,0.991194,YES
16,1446,997,0,CM,0.998311,YES
18,282,1176,0,CM,0.984179,YES
37,389,458,0,CM,0.981192,YES
43,456,1251,0,CM,0.989183,YES
44,144,1318,0,CM,0.977793,YES
54,1448,1080,0,CM,0.998307,YES
59,1307,1109,0,CM,0.999469,YES
67,1350,1438,0,CM,0.996161,YES
79,466,1293,0,CM,0.989079,YES
80,1417,852,0,CM,0.997932,YES
82,1370,1306,0,CM,0.997734,YES
90,655,1729,0,CM,0.985475,YES
91,592,982,0,CM,0.993428,YES
94,465,1073,0,CM,0.990275,YES
97,1161,1044,0,CH,0.951024,YES
1,-120,-1315,1,CM,0.969718,YES
5,-322,-1311,1,CM,0.977041,YES
6,-825,-603,1,CM,0.998317,YES
8,-1124,-966,1,CM,0.997135,YES
13,-1818,-592,1,CM,0.990039,YES
17,-808,-696,1,CM,0.997891,YES
30,-1828,-661,1,CM,0.989652,YES
31,-784,-948,1,CM,0.995238,YES
36,-364,-832,1,CM,0.987579,YES
38,-962,-509,1,CM,0.999396,YES
39,-1552,-308,1,CM,0.994546,YES
40,-1113,-589,1,CH,0.968023,YES
46,-1395,-1315,1,CM,0.987848,YES
50,-891,-1515,1,CM,0.981845,YES
57,-1459,-694,1,CM,0.997365,YES
63,-370,-1829,1,CM,0.958187,YES
64,-320,-1852,1,CM,0.9555,YES
65,-1588,-95,1,CM,0.990587,YES
66,-460,-268,1,CM,0.989391,YES
72,-1313,-973,1,CM,0.996231,YES
76,-1863,-8,1,CM,0.981979,YES
81,-142,-1045,1,CM,0.976964,YES
85,-1344,-531,1,CM,0.998846,YES
7,-1085,479,2,CM,0.971327,YES
9,-1412,744,2,CM,0.960524,YES
11,-878,1326,2,CM,0.984909,YES
15,-845,1300,2,CM,0.986231,YES
21,-627,1342,2,CM,0.991826,YES
23,55,-182,2,CM,0.968171,YES
28,-948,1144,2,CM,0.983649,YES
29,-262,-29,2,CM,0.974679,YES
33,-1078,342,2,CM,0.967975,YES
34,-852,40,2,CM,0.965595,YES
41,-48,674,2,CM,0.996764,YES
45,-163,1128,2,CM,0.999655,YES
47,-152,490,2,CM,0.992915,YES
49,-855,1144,2,CM,0.986827,YES
51,-270,725,2,CM,0.996535,YES
60,-1227,337,2,CM,0.961239,YES
61,-1486,214,2,CM,0.943739,YES
71,-441,303,2,CM,0.984956,YES
73,-626,91,2,CM,0.97391,YES
75,-47,1075,2,CH,0.976569,YES
77,-1656,259,2,CM,0.934885,YES
83,-889,1088,2,CM,0.985797,YES
93,-1076,1018,2,CM,0.978738,YES
96,-216,1175,2,CM,0.999209,YES
10,1736,267,3,CM,0.99513,YES
19,1571,-177,3,CM,0.989495,YES
20,1785,688,3,CM,0.994503,YES
22,1854,124,3,CM,0.991081,YES
26,1299,494,3,CH,0.961152,YES
27,1974,138,3,CM,0.988333,YES
35,1564,-654,3,CM,0.972217,YES
42,985,482,3,CM,0.998005,YES
56,1754,593,3,CM,0.995643,YES
69,615,-152,3,CM,0.982277,YES
70,896,360,3,CM,0.996373,YES
78,1827,692,3,CM,0.99362,YES
84,1543,-698,3,CM,0.970372,YES
86,414,168,3,CM,0.98219,YES
87,789,-280,3,CM,0.982796,YES
92,1242,438,3,CM,0.999852,YES
95,234,-153,3,CM,0.968923,YES
98,975,127,3,CM,0.995187,YES
99,1557,-601,3,CM,0.974668,YES
0,1125,-1237,4,CH,0.943909,YES
14,1309,-983,4,CM,0.998013,YES
24,1182,-1143,4,CM,0.999738,YES
25,966,-1446,4,CM,0.998601,YES
32,768,-1569,4,CM,0.995227,YES
48,1008,-1508,4,CM,0.998237,YES
52,488,-1710,4,CM,0.98739,YES
53,1122,-987,4,CM,0.99873,YES
55,231,-1112,4,CM,0.983683,YES
58,1289,-1446,4,CM,0.998568,YES
62,711,-1482,4,CM,0.995352,YES
68,1141,-1463,4,CM,0.998953,YES
74,144,-674,4,CM,0.974393,YES
88,1344,-1194,4,CM,0.998984,YES
89,917,-1643,4,CM,0.995818,YES
