cluster_id,sent,received,lost,collided,acks,PDR,energy_J,bits_per_joule,avg_tx_ms,avg_rx_ms,avg_sleep_ms,duty_cycle_avg
0,221,194,27,0,194,0.8778,0.12331,251723.4795,258.37,531.58,3321927.4,7.8e-05
1,282,247,35,0,247,0.8759,0.193572,204161.7622,335.05,563.04,3219318.84,0.000104
2,283,228,55,0,227,0.8057,0.372595,97907.8773,618.05,497.92,3338757.9,0.000185
3,212,182,30,0,181,0.8585,0.134446,216592.8455,281.7,513.16,3389353.45,8.3e-05
4,165,156,9,0,155,0.9455,0.190207,131225.2648,504.82,553.33,3267891.86,0.000154
