timestamp,node_id,bs_idx,sf,bw,freq,rssi,snr,toa,energy_j,status,role
239465.91,81,0,7,500,867500000,-111.73,11.3,14.14,0.000355,RECEIVED,CM
248315.59,74,0,7,500,868300000,-108.19,14.84,14.14,0.000355,RECEIVED,CM
252908.07,72,0,7,500,867100000,-104.99,18.04,14.14,0.000355,RECEIVED,CM
253176.5,9,0,7,500,867500000,-113.78,9.26,14.14,0.000355,RECEIVED,CM
253502.75,91,0,7,500,867300000,-101.11,21.92,14.14,0.000355,RECEIVED,CM
256579.02,87,0,7,500,867900000,-106.83,16.21,14.14,0.000355,RECEIVED,CM
261181.19,55,0,7,500,868500000,-118.0,5.03,14.14,0.000355,RECEIVED,CM
262072.71,41,0,7,500,867300000,-106.46,16.57,14.14,0.000355,RECEIVED,CM
262123.52,13,0,7,500,867100000,-111.81,11.22,14.14,0.000355,RECEIVED,CM
262280.26,61,0,7,500,867700000,-121.87,1.16,14.14,0.000355,LOST,CM
266266.14,53,0,7,500,867500000,-115.12,7.91,14.14,0.000355,RECEIVED,CM
267716.85,3,0,7,500,868300000,-91.72,31.31,14.14,0.000355,RECEIVED,CM
267950.71,84,0,7,500,868300000,-136.98,-13.95,14.14,0.000355,LOST,CM
269155.5,71,0,7,500,868500000,-110.86,12.17,14.14,0.000355,RECEIVED,CM
278218.25,15,0,7,500,867300000,-130.84,-7.81,14.14,0.000355,LOST,CM
280731.94,55,0,7,125,867300000,-121.78,1.25,56.58,0.001421,RECEIVED,CM
282778.88,3,0,7,500,867500000,-101.07,21.96,14.14,0.000355,RECEIVED,CM
285915.25,40,0,7,500,868300000,-123.79,-0.75,14.14,0.000355,LOST,CH
286538.67,84,0,8,125,867500000,-124.7,-1.67,102.91,0.002585,RECEIVED,CM
287520.51,68,0,7,500,868300000,-99.42,23.61,14.14,0.000355,RECEIVED,CM
294895.83,69,0,7,250,867100000,-113.86,9.17,28.29,0.000711,RECEIVED,CM
295742.5,60,0,7,500,867500000,-116.39,6.64,14.14,0.000355,RECEIVED,CM
296648.25,73,0,7,500,868300000,-119.12,3.91,14.14,0.000355,RECEIVED,CM
297910.96,89,0,7,500,868300000,-114.47,8.56,14.14,0.000355,RECEIVED,CM
304013.24,75,0,7,500,868500000,-122.54,0.49,14.14,0.000355,LOST,CH
311430.25,38,0,7,500,867100000,-96.83,26.2,14.14,0.000355,RECEIVED,CM
313550.05,0,0,7,500,868100000,-114.88,8.15,14.14,0.000355,RECEIVED,CH
316749.53,66,0,7,500,868300000,-110.14,12.9,14.14,0.000355,RECEIVED,CM
318309.01,60,0,7,125,867700000,-123.22,-0.19,56.58,0.001421,RECEIVED,CM
320624.31,6,0,7,500,867900000,-96.08,26.95,14.14,0.000355,RECEIVED,CM
323216.73,34,0,7,500,867500000,-104.55,18.48,14.14,0.000355,RECEIVED,CM
326542.05,4,0,7,500,868300000,-102.35,20.68,14.14,0.000355,RECEIVED,CM
328188.38,78,0,7,500,867100000,-104.36,18.67,14.14,0.000355,RECEIVED,CM
330234.4,89,0,7,500,868300000,-106.76,16.27,14.14,0.000355,RECEIVED,CM
331053.25,70,0,7,500,868500000,-98.21,24.82,14.14,0.000355,RECEIVED,CM
333636.32,11,0,7,500,867700000,-106.1,16.93,14.14,0.000355,RECEIVED,CM
333735.08,0,0,12,125,867700000,-125.37,-2.34,1318.91,0.03313,RECEIVED,CH
334906.17,33,0,9,125,867100000,-126.04,-3.01,185.34,0.004656,RECEIVED,CM
336030.93,81,0,7,500,868500000,-114.57,8.46,14.14,0.000355,RECEIVED,CM
337200.47,22,0,7,500,868300000,-96.1,26.93,14.14,0.000355,RECEIVED,CM
337509.92,80,0,7,500,867500000,-110.9,12.13,14.14,0.000355,RECEIVED,CM
340543.91,35,0,7,500,867300000,-131.39,-8.36,14.14,0.000355,LOST,CM
341841.35,54,0,7,500,867100000,-99.83,23.2,14.14,0.000355,RECEIVED,CM
342712.81,41,0,7,500,868500000,-105.37,17.66,14.14,0.000355,RECEIVED,CM
348951.04,62,0,7,500,868100000,-120.19,2.84,14.14,0.000355,RECEIVED,CM
350527.06,53,0,7,500,867500000,-81.76,41.27,14.14,0.000355,RECEIVED,CM
354305.09,55,0,7,500,867300000,-100.44,22.59,14.14,0.000355,RECEIVED,CM
355842.09,89,0,7,500,868100000,-92.3,30.73,14.14,0.000355,RECEIVED,CM
356412.54,39,0,7,500,868100000,-110.21,12.82,14.14,0.000355,RECEIVED,CM
357647.59,21,0,7,500,867700000,-114.14,8.89,14.14,0.000355,RECEIVED,CM
359008.57,54,0,7,500,868500000,-103.28,19.75,14.14,0.000355,RECEIVED,CM
366984.32,92,0,7,500,868300000,-88.75,34.28,14.14,0.000355,RECEIVED,CM
369289.42,37,0,7,500,867500000,-117.21,5.82,14.14,0.000355,RECEIVED,CM
374776.88,3,0,7,500,868300000,-87.56,35.47,14.14,0.000355,RECEIVED,CM
380691.89,22,0,7,500,867300000,-110.24,12.79,14.14,0.000355,RECEIVED,CM
394371.89,2,0,7,500,868300000,-104.03,19.0,14.14,0.000355,RECEIVED,CM
406836.12,16,0,7,500,867100000,-105.96,17.07,14.14,0.000355,RECEIVED,CM
407767.85,38,0,7,500,868500000,-94.49,28.54,14.14,0.000355,RECEIVED,CM
410261.93,57,0,7,500,868500000,-99.93,23.1,14.14,0.000355,RECEIVED,CM
410992.09,60,0,7,500,867900000,-117.68,5.35,14.14,0.000355,RECEIVED,CM
411897.01,70,0,7,500,867700000,-112.84,10.19,14.14,0.000355,RECEIVED,CM
412632.51,23,0,7,500,867700000,-127.07,-4.04,14.14,0.000355,LOST,CM
414856.48,31,0,7,500,867700000,-110.19,12.84,14.14,0.000355,RECEIVED,CM
422841.41,61,0,7,500,868100000,-129.26,-6.23,14.14,0.000355,LOST,CM
423442.02,67,0,7,500,867700000,-102.33,20.71,14.14,0.000355,RECEIVED,CM
428303.53,42,0,7,500,868500000,-102.59,20.44,14.14,0.000355,RECEIVED,CM
428722.02,25,0,7,500,867500000,-100.25,22.78,14.14,0.000355,RECEIVED,CM
436431.1,64,0,7,500,867900000,-123.53,-0.5,14.14,0.000355,LOST,CM
439303.86,40,0,7,500,867500000,-121.9,1.13,14.14,0.000355,LOST,CH
453107.36,18,0,7,500,867500000,-114.25,8.78,14.14,0.000355,RECEIVED,CM
453553.15,83,0,7,500,867100000,-114.03,9.0,14.14,0.000355,RECEIVED,CM
453739.75,44,0,7,500,868300000,-95.35,27.68,14.14,0.000355,RECEIVED,CM
455156.91,58,0,7,500,867100000,-114.9,8.13,14.14,0.000355,RECEIVED,CM
457771.38,5,0,7,500,868500000,-114.56,8.47,14.14,0.000355,RECEIVED,CM
458928.45,77,0,7,500,867900000,-127.38,-4.35,14.14,0.000355,LOST,CM
463402.3,45,0,7,500,868300000,-97.53,25.51,14.14,0.000355,RECEIVED,CM
465636.49,1,0,7,250,868100000,-106.43,16.6,28.29,0.000711,RECEIVED,CM
466626.28,0,0,7,500,868500000,-119.69,3.34,14.14,0.000355,RECEIVED,CH
474062.63,64,0,7,250,867100000,-115.59,7.44,28.29,0.000711,RECEIVED,CM
477968.12,10,0,7,500,867300000,-103.02,20.01,14.14,0.000355,RECEIVED,CM
484539.34,0,0,11,125,867100000,-128.13,-5.1,741.38,0.018623,RECEIVED,CH
493985.61,83,0,7,500,867700000,-109.13,13.9,14.14,0.000355,RECEIVED,CM
495294.94,84,0,7,500,867100000,-130.4,-7.37,14.14,0.000355,LOST,CM
497438.95,69,0,7,500,868100000,-127.55,-4.52,14.14,0.000355,LOST,CM
499344.64,1,0,7,500,868500000,-122.22,0.81,14.14,0.000355,LOST,CM
509128.18,59,0,7,500,868500000,-93.73,29.3,14.14,0.000355,RECEIVED,CM
513630.74,80,0,7,500,868300000,-98.07,24.96,14.14,0.000355,RECEIVED,CM
514528.08,62,0,7,500,867500000,-105.16,17.87,14.14,0.000355,RECEIVED,CM
518044.0,94,0,7,500,867500000,-100.57,22.46,14.14,0.000355,RECEIVED,CM
521620.85,54,0,7,500,867700000,-86.55,36.48,14.14,0.000355,RECEIVED,CM
524373.69,60,0,7,500,867500000,-119.39,3.64,14.14,0.000355,RECEIVED,CM
532475.16,66,0,7,500,867300000,-115.1,7.93,14.14,0.000355,RECEIVED,CM
543911.31,59,0,7,500,867100000,-77.6,45.44,14.14,0.000355,RECEIVED,CM
546354.68,65,0,7,500,867300000,-94.46,28.57,14.14,0.000355,RECEIVED,CM
551486.74,77,0,9,250,868500000,-116.17,6.86,92.67,0.002328,RECEIVED,CM
557590.16,76,0,7,500,867700000,-119.81,3.22,14.14,0.000355,RECEIVED,CM
567702.49,97,0,7,500,868300000,-117.68,5.35,14.14,0.000355,RECEIVED,CH
576247.28,40,0,7,500,868300000,-88.47,34.56,14.14,0.000355,RECEIVED,CH
578962.11,64,0,7,500,867300000,-108.25,14.78,14.14,0.000355,RECEIVED,CM
579822.15,84,0,7,500,868300000,-118.94,4.09,14.14,0.000355,RECEIVED,CM
583507.2,42,0,7,500,867900000,-108.09,14.94,14.14,0.000355,RECEIVED,CM
589475.89,61,0,7,500,867500000,-132.59,-9.56,14.14,0.000355,LOST,CM
591269.95,34,0,7,500,867300000,-111.63,11.4,14.14,0.000355,RECEIVED,CM
593684.35,34,0,7,500,867700000,-116.58,6.45,14.14,0.000355,RECEIVED,CM
594797.05,1,0,7,250,868500000,-116.67,6.36,28.29,0.000711,RECEIVED,CM
598282.17,74,0,7,500,867500000,-121.76,1.27,14.14,0.000355,LOST,CM
601597.26,60,0,7,500,867900000,-122.46,0.57,14.14,0.000355,LOST,CM
602060.86,88,0,7,500,867900000,-110.38,12.65,14.14,0.000355,RECEIVED,CM
602079.39,22,0,7,500,867100000,-111.8,11.23,14.14,0.000355,RECEIVED,CM
619224.4,49,0,7,500,867300000,-100.1,22.93,14.14,0.000355,RECEIVED,CM
621611.07,98,0,7,500,867300000,-105.69,17.34,14.14,0.000355,RECEIVED,CM
624018.86,89,0,7,250,868100000,-105.44,17.59,28.29,0.000711,RECEIVED,CM
