node_id,x,y,cluster_id,role,residual_energy_J,alive
2,694,792,0,CM,0.998212,YES
7,1144,733,0,CM,0.997332,YES
15,531,-113,0,CM,0.989724,YES
18,95,-110,0,CM,0.980611,YES
22,1229,1128,0,CM,0.989873,YES
25,269,694,0,CM,0.992941,YES
34,-226,-61,0,CM,0.970196,YES
36,840,533,0,CH,0.979998,YES
37,1238,1106,0,CM,0.990245,YES
47,280,893,0,CM,0.991116,YES
48,498,123,0,CM,0.994279,YES
50,1106,626,0,CM,0.998392,YES
51,192,-207,0,CM,0.98063,YES
53,1060,905,0,CM,0.996244,YES
66,424,883,0,CM,0.994069,YES
91,76,-74,0,CM,0.980937,YES
93,36,559,0,CM,0.987038,YES
98,724,31,0,CM,0.994671,YES
3,889,1452,1,CM,0.985361,YES
12,858,1638,1,CM,0.985019,YES
13,-968,1534,1,CM,0.979093,YES
14,-1127,1464,1,CM,0.972573,YES
17,64,909,1,CM,0.995899,YES
21,-122,1209,1,CM,0.999006,YES
23,5,1134,1,CM,0.998935,YES
26,612,1839,1,CM,0.988825,YES
28,-425,1522,1,CM,0.995149,YES
30,-285,1509,1,CM,0.997436,YES
31,898,1363,1,CM,0.985222,YES
39,-569,1626,1,CM,0.991172,YES
41,1047,1428,1,CM,0.979566,YES
56,75,1285,1,CM,0.999842,YES
59,527,1330,1,CM,0.995199,YES
73,160,1663,1,CM,0.997851,YES
75,850,1758,1,CM,0.983657,YES
78,375,1869,1,CM,0.99254,YES
81,39,1360,1,CH,0.962726,YES
85,-327,1466,1,CM,0.997076,YES
86,475,1880,1,CM,0.99077,YES
89,-1168,1591,1,CM,0.969776,YES
5,-1770,823,2,CM,0.986615,YES
16,-1626,-1145,2,CM,0.963898,YES
19,-1511,612,2,CM,0.994915,YES
35,-868,723,2,CM,0.989909,YES
43,-1261,-997,2,CM,0.973321,YES
49,-1767,126,2,CM,0.995524,YES
54,-1724,816,2,CM,0.987631,YES
58,-1684,-177,2,CM,0.994738,YES
60,-1761,-222,2,CM,0.992783,YES
63,-1604,728,2,CM,0.991562,YES
65,-689,731,2,CM,0.986021,YES
68,-1772,-726,2,CM,0.979855,YES
70,-1334,-329,2,CM,0.995227,YES
71,-1056,805,2,CM,0.99043,YES
72,-1106,653,2,CM,0.994338,YES
77,-1422,-585,2,CM,0.988651,YES
79,-1296,157,2,CH,0.965674,YES
83,-1269,-973,2,CM,0.974427,YES
87,-746,-370,2,CM,0.988375,YES
94,-1141,536,2,CM,0.996627,YES
97,-1368,814,2,CM,0.991243,YES
1,-543,-1011,3,CM,0.991541,YES
6,-926,-1406,3,CM,0.988643,YES
8,-334,-1195,3,CM,0.996962,YES
20,-567,-1890,3,CM,0.994863,YES
24,-620,-795,3,CM,0.984696,YES
27,495,-1550,3,CM,0.99065,YES
29,-1255,-1257,3,CM,0.975434,YES
32,-319,-1239,3,CM,0.99764,YES
33,721,-1746,3,CM,0.982725,YES
42,-1449,-1356,3,CM,0.967386,YES
44,-188,-1555,3,CH,0.950648,YES
52,505,-1586,3,CM,0.990356,YES
57,-491,-1841,3,CM,0.996508,YES
61,-501,-732,3,CM,0.984474,YES
64,445,-1209,3,CM,0.989572,YES
67,6,-1824,3,CM,0.99778,YES
69,683,-1867,3,CM,0.98286,YES
74,152,-616,3,CM,0.980034,YES
76,360,-1677,3,CM,0.993676,YES
80,-743,-1621,3,CM,0.993732,YES
84,-362,-1925,3,CM,0.996636,YES
90,101,-1510,3,CM,0.998269,YES
92,629,-1417,3,CM,0.986249,YES
95,152,-615,3,CM,0.979996,YES
99,-713,-1249,3,CM,0.992595,YES
0,1672,39,4,CM,0.974395,YES
4,960,-740,4,CM,0.999301,YES
9,1264,-1268,4,CM,0.996365,YES
10,1495,67,4,CM,0.97713,YES
11,1564,-812,4,CM,0.994448,YES
38,599,-1071,4,CM,0.995419,YES
40,588,-678,4,CM,0.994772,YES
45,719,-1169,4,CM,0.996426,YES
46,1033,-373,4,CM,0.994359,YES
55,1114,-540,4,CM,0.997252,YES
62,1489,-1241,4,CM,0.99377,YES
82,1046,-903,4,CH,0.961646,YES
88,1431,-1307,4,CM,0.993751,YES
96,1594,-498,4,CM,0.990693,YES
