round,n_clusters,n_ch,alive_nodes,dead_nodes,avg_residual_energy_J,total_residual_energy_J
1,18,18,100,0,0.990327,99.032679
2,5,5,100,0,0.978268,97.826805
3,6,6,100,0,0.966303,96.630342
4,14,14,100,0,0.957895,95.789545
5,14,14,100,0,0.9475,94.750003
6,16,16,100,0,0.938194,93.819427
7,6,6,100,0,0.928032,92.803185
8,10,10,100,0,0.918823,91.882326
9,11,11,100,0,0.910515,91.051548
10,1,1,100,0,0.874805,87.480499
11,3,3,100,0,0.85807,85.806977
12,3,3,100,0,0.840135,84.013455
13,2,2,100,0,0.81375,81.375006
14,9,9,100,0,0.805186,80.518588
15,8,8,100,0,0.794808,79.480837
16,16,16,100,0,0.785839,78.583911
17,15,15,100,0,0.77579,77.579032
18,13,13,100,0,0.76706,76.705953
19,30,30,100,0,0.755237,75.52369
20,1,1,100,0,0.719526,71.952641
