node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS;ROLE
2;0;-112.59351079362952;10.437389076289918;46.336;9;500;14;868100000;868100000;577.7170587753143;1.1639076969042788;RECEIVED;CM
18;0;-120.54897968760903;2.481920182310404;56.57600000000001;7;125;14;868100000;868100000;1697.0380078242208;1.4211248674908599;RECEIVED;CM
90;0;-117.2777068937161;5.753192976203337;28.288000000000004;7;250;14;867700000;867700000;599.256205641627;0.7105624337454299;RECEIVED;CM
87;0;-126.63878372657024;-3.607883856650801;46.336;9;500;14;868300000;868300000;1542.1193209346675;1.1639076969042788;RECEIVED;CM
45;0;-117.49076823768354;5.540131632235898;92.672;10;500;14;868300000;868300000;617.3629402547581;2.3278153938085575;RECEIVED;CM
62;0;-102.8362276635293;20.194672206390138;102.912;8;125;14;868100000;868100000;518.4177851887414;2.5850325643951386;RECEIVED;CM
79;0;-127.68831627311218;-4.657416403192741;329.728;12;500;14;867700000;867700000;1119.5557154514463;8.282392892887906;RECEIVED;CM
75;0;-112.83893850911919;10.19196136080025;46.336;9;500;14;868100000;868100000;1154.3158146711844;1.1639076969042788;RECEIVED;CM
8;0;-105.95482982154778;17.076070048371662;92.672;9;250;14;867300000;867300000;392.4742029739025;2.3278153938085575;RECEIVED;CM
77;0;-113.75858211508125;9.272317754838184;102.912;8;125;14;868100000;868100000;732.6117662172783;2.5850325643951386;RECEIVED;CM
26;0;-107.20021470582445;15.830685164094987;14.144000000000002;7;500;14;867100000;867100000;618.4601846521731;0.35528121687271497;RECEIVED;CM
94;0;-123.71799209478687;-0.6870922248674276;185.344;9;125;14;867900000;867900000;1616.9032129351465;4.655630787617115;RECEIVED;CM
60;0;-113.04915807641147;9.981741793507965;25.728;8;500;14;867100000;867100000;497.41029341982863;0.6462581410987847;RECEIVED;CM
48;0;-108.70362877034616;14.32727109957328;329.728;11;250;14;867300000;867300000;1203.0444713309646;8.282392892887906;RECEIVED;CM
11;0;-114.78253045675191;8.248369413167524;185.344;10;250;14;868300000;868300000;1142.6937472481418;4.655630787617115;RECEIVED;CM
36;0;-116.15789586730062;6.8730040026188135;46.336;9;500;14;867500000;867500000;1757.280000455249;1.1639076969042788;RECEIVED;CM
25;0;-130.22630504706018;-7.195405177140742;46.336;9;500;14;867900000;867900000;1102.200072582106;1.1639076969042788;LOST;CM
62;0;-94.42592981906091;28.604970050858526;25.728;8;500;14;867100000;867100000;518.4177851887414;0.6462581410987847;RECEIVED;CM
67;0;-119.90401959421192;3.1268802757075207;102.912;8;125;14;867100000;867100000;1110.9261901674656;2.5850325643951386;RECEIVED;CM
74;0;-103.96703879601932;19.063861073900114;329.728;11;250;14;867100000;867100000;1434.5654394275641;8.282392892887906;RECEIVED;CM
57;0;-114.56821868560442;8.462681184315016;92.672;10;500;14;867300000;867300000;960.3468123547867;2.3278153938085575;RECEIVED;CM
45;0;-117.85164446164242;5.179255408277015;46.336;9;500;14;868100000;868100000;617.3629402547581;1.1639076969042788;RECEIVED;CM
12;0;-124.76381490363573;-1.7329150337162957;1318.912;12;125;14;868300000;868300000;1867.593371159793;33.12957157155162;RECEIVED;CM
94;0;-103.54988269654037;19.481017173379072;185.344;9;125;14;867900000;867900000;1616.9032129351465;4.655630787617115;RECEIVED;CM
56;0;-110.96071031635192;12.070189553567516;370.688;10;125;14;867300000;867300000;1310.5636192112156;9.31126157523423;RECEIVED;CM
