node_id,x,y,cluster_id,role,residual_energy_J,alive
2,1929,370,0,CM,0.962624,YES
3,680,-811,0,CM,0.996785,YES
4,680,-762,0,CM,0.996985,YES
6,1136,-1443,0,CM,0.98834,YES
16,753,-85,0,CM,0.990931,YES
19,1990,101,0,CM,0.97032,YES
22,1580,-1191,0,CM,0.98941,YES
25,786,-551,0,CM,0.998136,YES
26,1289,135,0,CM,0.985507,YES
30,1079,-1334,0,CM,0.991522,YES
31,1573,-813,0,CM,0.994363,YES
32,1059,-684,0,CH,0.967994,YES
34,1040,-89,0,CM,0.992892,YES
39,1834,337,0,CM,0.967119,YES
42,1386,-1038,0,CM,0.995335,YES
67,1915,168,0,CM,0.970807,YES
73,1721,-509,0,CM,0.990603,YES
74,768,-227,0,CM,0.994109,YES
90,1167,-1459,0,CM,0.987734,YES
0,-93,-1322,1,CM,0.995973,YES
1,-614,-943,1,CM,0.999063,YES
8,-409,-1005,1,CH,0.976114,YES
12,40,-160,1,CM,0.981667,YES
18,-239,-67,1,CM,0.981805,YES
21,69,-1671,1,CM,0.986539,YES
28,-928,-854,1,CM,0.994137,YES
35,-75,-257,1,CM,0.986559,YES
45,-6,-1157,1,CM,0.99627,YES
47,140,-1514,1,CM,0.98877,YES
51,79,-510,1,CM,0.990317,YES
52,-178,-1512,1,CM,0.993772,YES
54,-520,-572,1,CM,0.995984,YES
58,573,-1397,1,CM,0.97762,YES
61,-317,-1302,1,CM,0.998047,YES
64,-799,-1505,1,CM,0.991938,YES
70,-789,-802,1,CM,0.996268,YES
72,-821,-1390,1,CM,0.993621,YES
75,-790,-612,1,CM,0.993988,YES
78,-484,-343,1,CM,0.991103,YES
80,561,-1592,1,CM,0.974271,YES
82,-27,-1306,1,CM,0.99525,YES
85,109,-1856,1,CM,0.980129,YES
86,368,-1885,1,CM,0.972417,YES
87,-774,-1390,1,CM,0.994351,YES
89,-1355,-1428,1,CM,0.978503,YES
91,-884,-947,1,CM,0.9954,YES
94,95,-1362,1,CM,0.992351,YES
97,501,-821,1,CM,0.982741,YES
98,274,-1426,1,CM,0.987105,YES
10,-1742,792,2,CM,0.984432,YES
15,-1682,52,2,CM,0.999349,YES
23,-1723,143,2,CM,0.998496,YES
29,-1339,-953,2,CM,0.983444,YES
36,-1537,299,2,CM,0.997267,YES
38,-1805,159,2,CM,0.99766,YES
44,-1739,641,2,CM,0.989199,YES
46,-1534,-785,2,CM,0.98972,YES
53,-1523,298,2,CM,0.997269,YES
57,-1263,-154,2,CM,0.998165,YES
60,-1262,-651,2,CM,0.991524,YES
63,-1617,617,2,CM,0.990484,YES
69,-1925,-206,2,CM,0.996822,YES
79,-969,-145,2,CM,0.993067,YES
83,-1375,-733,2,CM,0.990536,YES
84,-1552,-69,2,CH,0.951534,YES
93,-1512,-1255,2,CM,0.971816,YES
20,-187,1451,3,CM,0.998782,YES
24,-640,481,3,CM,0.986175,YES
27,88,1306,3,CM,0.996458,YES
40,-561,933,3,CM,0.996872,YES
43,-1375,1358,3,CM,0.977827,YES
49,-936,951,3,CM,0.990787,YES
50,-1149,1101,3,CM,0.986049,YES
59,-1116,1544,3,CM,0.985844,YES
62,-528,462,3,CM,0.98673,YES
65,3,1694,3,CM,0.993864,YES
66,-461,1551,3,CM,0.997826,YES
76,-368,907,3,CM,0.997581,YES
77,-328,1251,3,CH,0.966351,YES
88,-334,1880,3,CM,0.992066,YES
92,-933,1751,3,CM,0.98766,YES
96,-916,1635,3,CM,0.990116,YES
99,-252,1048,3,CM,0.99904,YES
5,930,705,4,CH,0.972565,YES
7,372,715,4,CM,0.993751,YES
9,719,686,4,CM,0.999082,YES
11,204,997,4,CM,0.987733,YES
13,479,235,4,CM,0.991494,YES
14,1835,606,4,CM,0.983403,YES
17,695,1217,4,CM,0.993633,YES
33,95,231,4,CM,0.981542,YES
37,1724,505,4,CM,0.986571,YES
41,1811,848,4,CM,0.984048,YES
48,356,665,4,CM,0.993358,YES
55,1148,583,4,CM,0.998732,YES
56,1237,1008,4,CM,0.996259,YES
68,898,1545,4,CM,0.985848,YES
71,1025,1596,4,CM,0.983922,YES
81,740,800,4,CM,0.999077,YES
95,973,1476,4,CM,0.988054,YES
