node_id,x,y,cluster_id,role,residual_energy_J,alive
9,-1149,-1078,0,CM,0.99574,YES
11,-714,-1577,0,CM,0.991608,YES
18,-946,-431,0,CM,0.993914,YES
22,-1178,-1268,0,CM,0.993371,YES
28,-462,-1162,0,CM,0.997644,YES
35,-1170,-430,0,CM,0.990803,YES
43,-1032,-918,0,CM,0.997942,YES
47,-369,-461,0,CM,0.993214,YES
49,-729,-1327,0,CM,0.996823,YES
51,-784,-1663,0,CM,0.989133,YES
57,-185,-1105,0,CM,0.993792,YES
60,-1202,-598,0,CM,0.992993,YES
65,-349,-424,0,CM,0.992209,YES
76,-765,-1328,0,CM,0.996758,YES
78,-661,-1030,0,CM,0.999726,YES
94,-647,-1320,0,CM,0.996851,YES
100,-845,-1389,0,CM,0.995418,YES
102,-487,-1572,0,CM,0.990715,YES
112,-265,-426,0,CM,0.990886,YES
117,-1434,-410,0,CM,0.984175,YES
124,-1037,-1252,0,CM,0.995807,YES
130,-1073,-1179,0,CM,0.996148,YES
135,-1727,-959,0,CM,0.979399,YES
137,-212,-487,0,CM,0.991035,YES
144,-1023,-1117,0,CM,0.997359,YES
146,-868,-1801,0,CM,0.984327,YES
148,-109,-1263,0,CM,0.990466,YES
172,-451,-1575,0,CM,0.990287,YES
174,-713,-930,0,CH,0.972151,YES
176,-814,-813,0,CM,0.999502,YES
182,-691,-648,0,CM,0.99838,YES
184,-1405,-1118,0,CM,0.989696,YES
190,-1388,-613,0,CM,0.988858,YES
196,-1161,-1026,0,CM,0.995782,YES
5,-1683,-255,1,CM,0.98442,YES
10,-570,797,1,CM,0.991468,YES
12,-158,49,1,CM,0.980918,YES
21,-13,80,1,CM,0.975575,YES
27,-816,499,1,CM,0.998374,YES
58,-1373,1159,1,CM,0.986191,YES
63,-1967,-320,1,CM,0.974154,YES
72,-1050,493,1,CM,0.99973,YES
74,-1115,1390,1,CM,0.979707,YES
77,-1707,54,1,CM,0.989814,YES
81,-1454,188,1,CM,0.996339,YES
83,-7,47,1,CM,0.974896,YES
86,-710,449,1,CM,0.997231,YES
92,-1774,-216,1,CM,0.983008,YES
103,-1075,384,1,CH,0.973488,YES
104,-1173,440,1,CM,0.999725,YES
106,-820,306,1,CM,0.998558,YES
111,-724,37,1,CM,0.995108,YES
115,-710,-180,1,CM,0.990954,YES
119,-1265,194,1,CM,0.998536,YES
122,-1363,-180,1,CM,0.991959,YES
127,-1540,947,1,CM,0.989316,YES
129,-1224,1258,1,CM,0.984258,YES
131,-1852,550,1,CM,0.987354,YES
134,-1334,2,1,CM,0.99572,YES
138,-872,559,1,CM,0.998543,YES
151,-153,172,1,CM,0.982079,YES
152,-1495,-82,1,CM,0.992109,YES
156,-1655,701,1,CM,0.991242,YES
159,-1052,138,1,CM,0.998759,YES
165,-722,905,1,CM,0.992059,YES
167,-396,511,1,CM,0.990437,YES
168,-318,100,1,CM,0.986906,YES
171,-1276,1277,1,CM,0.983223,YES
173,-1471,823,1,CM,0.992989,YES
179,-1040,714,1,CM,0.997777,YES
181,-1862,-348,1,CM,0.976876,YES
192,-1214,908,1,CM,0.994102,YES
194,-647,347,1,CM,0.996289,YES
197,-230,65,1,CM,0.983664,YES
3,144,952,2,CM,0.995297,YES
8,-463,1336,2,CM,0.99694,YES
14,305,1071,2,CM,0.99513,YES
19,-46,590,2,CM,0.987385,YES
20,-440,1921,2,CM,0.991541,YES
30,313,1397,2,CM,0.99695,YES
32,-831,1460,2,CM,0.988461,YES
33,177,1396,2,CM,0.998696,YES
38,-103,582,2,CM,0.987133,YES
40,182,1571,2,CM,0.997942,YES
45,280,855,2,CM,0.99187,YES
46,-976,1718,2,CM,0.981536,YES
55,-77,1428,2,CM,0.999939,YES
56,-417,1427,2,CM,0.997616,YES
64,514,1393,2,CM,0.993016,YES
66,61,1229,2,CM,0.99913,YES
67,344,1934,2,CM,0.99038,YES
87,-230,1377,2,CM,0.999505,YES
90,-166,1954,2,CM,0.993297,YES
109,-78,1537,2,CM,0.999506,YES
113,-50,906,2,CM,0.995416,YES
118,-107,942,2,CM,0.996071,YES
121,-148,1632,2,CM,0.998636,YES
133,229,1778,2,CM,0.994999,YES
142,-509,1020,2,CM,0.993595,YES
145,331,853,2,CM,0.991049,YES
153,441,1877,2,CM,0.989753,YES
155,-122,1646,2,CM,0.998554,YES
158,644,1244,2,CM,0.989226,YES
161,-176,690,2,CM,0.990175,YES
166,-68,1299,2,CM,0.999838,YES
