node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS
12;0;-125.36610266333832;-2.335202793418887;14.144000000000002;7;500;14;868100000;868100000;2664.3002833764817;0.35528121687271497;LOST
95;0;-120.810412215301;2.220487654618438;329.728;11;250;14;867100000;867100000;3962.9637898926103;8.282392892887906;RECEIVED
30;0;-113.53054553208702;9.50035433783242;329.728;12;500;14;867300000;867300000;4308.220166147501;8.282392892887906;RECEIVED
59;0;-108.88310745681564;14.1477924131038;370.688;10;125;14;868300000;868300000;930.3526213216148;9.31126157523423;RECEIVED
2;0;-130.18574503048052;-7.154845160561081;185.344;10;250;14;868500000;868500000;4728.986783656727;4.655630787617115;RECEIVED
13;0;-110.97775690811281;12.053142961806628;185.344;10;250;14;867100000;867100000;539.8833207277291;4.655630787617115;RECEIVED
37;0;-118.66028963024593;4.3706102396735105;329.728;12;500;14;867500000;867500000;3616.8928654302163;8.282392892887906;RECEIVED
18;0;-125.11356876316685;-2.0826688932474156;25.728;8;500;14;867100000;867100000;1803.92932234054;0.6462581410987847;LOST
42;0;-121.10640856958724;1.9244913003321926;25.728;8;500;14;867500000;867500000;3168.4560909061056;0.6462581410987847;RECEIVED
59;0;-119.32688370519375;3.7040161647256866;51.456;8;250;14;867700000;867700000;930.3526213216148;1.2925162821975693;RECEIVED
18;0;-130.83277744612508;-7.801877576205641;14.144000000000002;7;500;14;867700000;867700000;1803.92932234054;0.35528121687271497;LOST
14;0;-130.23508453824994;-7.204184668330498;14.144000000000002;7;500;14;868500000;868500000;3331.324811542699;0.35528121687271497;LOST
96;0;-128.31140917490998;-5.280509304990545;329.728;11;250;14;867300000;867300000;1288.7920701183725;8.282392892887906;RECEIVED
77;0;-142.84477864433632;-19.813878774416878;370.688;10;125;14;867300000;867300000;3665.996181121852;9.31126157523423;LOST
18;0;-142.93778124509234;-19.9068813751729;92.672;9;250;14;868100000;868100000;1803.92932234054;2.3278153938085575;LOST
84;0;-112.43519779542346;10.595702074495975;370.688;10;125;14;867500000;867500000;858.9959254850979;9.31126157523423;RECEIVED
62;0;-121.109545243517;1.921354626402433;28.288000000000004;7;250;14;868100000;868100000;2965.7756152480583;0.7105624337454299;RECEIVED
48;0;-128.34125728012592;-5.310357410206478;92.672;9;250;14;868500000;868500000;3168.2652982349823;2.3278153938085575;LOST
63;0;-134.98633873692665;-11.955438867007217;51.456;8;250;14;867700000;867700000;4421.705666369031;1.2925162821975693;LOST
47;0;-120.5638539826324;2.4670458872870427;92.672;9;250;14;868100000;868100000;4898.298582160953;2.3278153938085575;RECEIVED
90;0;-137.64814200162724;-14.617242131707798;370.688;10;125;14;868100000;868100000;3850.3262199455257;9.31126157523423;LOST
33;0;-125.71323149310876;-2.6823316231893273;92.672;9;250;14;867900000;867900000;2713.2010614770147;2.3278153938085575;RECEIVED
18;0;-132.98472759017662;-9.95382772025718;46.336;9;500;14;868300000;868300000;1803.92932234054;1.1639076969042788;LOST
91;0;-111.87158704432025;11.159312825599187;25.728;8;500;14;867100000;867100000;3733.1253662313566;0.6462581410987847;RECEIVED
6;0;-129.8046972853863;-6.773797415466873;329.728;11;250;14;867900000;867900000;3736.098098283823;8.282392892887906;RECEIVED
26;0;-134.06193935953235;-11.031039489612908;329.728;12;500;14;867500000;867500000;4287.268710962727;8.282392892887906;LOST
53;0;-134.911142117986;-11.880242248066565;329.728;11;250;14;867300000;867300000;4784.6279897187405;8.282392892887906;LOST
11;0;-132.0041575466013;-8.973257676681868;51.456;8;250;14;867500000;867500000;2736.973511015406;1.2925162821975693;LOST
94;0;-134.19268883931164;-11.161788969392205;185.344;10;250;14;867700000;867700000;4308.813409745193;4.655630787617115;LOST
66;0;-127.03307317580908;-4.002173305889642;185.344;10;250;14;867900000;867900000;3170.2310641339695;4.655630787617115;RECEIVED
34;0;-119.90238663953912;3.128513230380321;46.336;9;500;14;868500000;868500000;2432.8799805991252;1.1639076969042788;RECEIVED
70;0;-120.76104792178705;2.2698519481323842;659.456;12;250;14;867500000;867500000;1402.9272967620238;16.56478578577581;RECEIVED
91;0;-139.7113403055999;-16.680440435680453;46.336;9;500;14;868500000;868500000;3733.1253662313566;1.1639076969042788;LOST
50;0;-131.87346140802822;-8.842561538108782;102.912;8;125;14;868300000;868300000;2405.9160417603935;2.5850325643951386;LOST
40;0;-130.8281124560597;-7.797212586140262;185.344;9;125;14;867500000;867500000;4539.023903880657;4.655630787617115;RECEIVED
61;0;-116.61868539979127;6.412214470128163;102.912;8;125;14;868300000;868300000;1871.8808722779343;2.5850325643951386;RECEIVED
77;0;-119.005558853215;4.025341016704431;741.376;11;125;14;868500000;868500000;3665.996181121852;18.62252315046846;RECEIVED
44;0;-122.28997312399471;0.7409267459247246;659.456;12;250;14;867900000;867900000;3508.121434614258;16.56478578577581;RECEIVED
12;0;-123.3236020216255;-0.2927021517060666;185.344;10;250;14;868100000;868100000;2664.3002833764817;4.655630787617115;RECEIVED
38;0;-125.19194295730918;-2.161043087389743;92.672;10;500;14;868500000;868500000;3536.670185357973;2.3278153938085575;RECEIVED
69;0;-111.99651378061229;11.034386089307148;56.57600000000001;7;125;14;868300000;868300000;1566.270091650862;1.4211248674908599;RECEIVED
24;0;-127.91333425170433;-4.88243438178489;329.728;11;250;14;867300000;867300000;2353.687319930156;8.282392892887906;RECEIVED
49;0;-133.2164402194374;-10.185540349517964;329.728;12;500;14;867900000;867900000;2361.7808958495707;8.282392892887906;LOST
11;0;-119.46462822901412;3.5662716409053132;56.57600000000001;7;125;14;868300000;868300000;2736.973511015406;1.4211248674908599;RECEIVED
39;0;-128.36682833441049;-5.335928464491047;56.57600000000001;7;125;14;868300000;868300000;4429.459222072148;1.4211248674908599;LOST
39;0;-136.4131404425908;-13.38224057267135;185.344;10;250;14;867300000;867300000;4429.459222072148;4.655630787617115;LOST
64;0;-142.3417591718088;-19.310859301889366;329.728;11;250;14;867700000;867700000;4852.087488906192;8.282392892887906;LOST
71;0;-123.1830403685637;-0.1521404986442576;164.864;11;500;14;867300000;867300000;2948.585593127661;4.141196446443953;RECEIVED
14;0;-123.16198155738326;-0.1310816874638192;25.728;8;500;14;867500000;867500000;3331.324811542699;0.6462581410987847;RECEIVED
59;0;-108.81240998056693;14.218489889352512;329.728;12;500;14;867700000;867700000;930.3526213216148;8.282392892887906;RECEIVED
46;0;-146.1355003244861;-23.10460045456665;659.456;12;250;14;868300000;868300000;4563.02465476574;16.56478578577581;LOST
81;0;-122.54690904435961;0.48399082555982886;185.344;10;250;14;867500000;867500000;2437.4531790374967;4.655630787617115;RECEIVED
75;0;-106.01069093597732;17.020208933942115;92.672;9;250;14;868500000;868500000;1250.7957467148663;2.3278153938085575;RECEIVED
77;0;-138.19181682031817;-15.160916950398729;370.688;10;125;14;867300000;867300000;3665.996181121852;9.31126157523423;LOST
34;0;-120.65811060474937;2.37278926517007;659.456;12;250;14;867900000;867900000;2432.8799805991252;16.56478578577581;RECEIVED
73;0;-141.06604405421422;-18.03514418429478;370.688;10;125;14;867500000;867500000;4572.833804108783;9.31126157523423;LOST
75;0;-120.4045327773446;2.6263670925748386;102.912;8;125;14;867700000;867700000;1250.7957467148663;2.5850325643951386;RECEIVED
76;0;-134.77276050569503;-11.741860635775595;185.344;9;125;14;867100000;867100000;4640.356236324966;4.655630787617115;LOST
29;0;-130.59770263421402;-7.566802764294579;46.336;9;500;14;867100000;867100000;3580.1254167975735;1.1639076969042788;LOST
16;0;-129.87517816300195;-6.84427829308251;370.688;10;125;14;868500000;868500000;2687.680226515052;9.31126157523423;RECEIVED
77;0;-127.42461970511067;-4.393719835191234;25.728;8;500;14;868100000;868100000;3665.996181121852;0.6462581410987847;LOST
42;0;-119.06590489192948;3.96499497798996;46.336;9;500;14;867700000;867700000;3168.4560909061056;1.1639076969042788;RECEIVED
52;0;-129.67567891837695;-6.644779048457508;92.672;9;250;14;867100000;867100000;922.9192814108935;2.3278153938085575;LOST
16;0;-125.86885338085028;-2.837953510930845;1318.912;12;125;14;867500000;867500000;2687.680226515052;33.12957157155162;RECEIVED
97;0;-132.05819967872696;-9.027299808807527;92.672;9;250;14;868100000;868100000;4679.94957237789;2.3278153938085575;LOST
93;0;-117.30334664297044;5.727553226948999;164.864;11;500;14;868500000;868500000;3236.5614469680627;4.141196446443953;RECEIVED
89;0;-122.74874991716294;0.2821499527564981;28.288000000000004;7;250;14;867300000;867300000;3181.3325824251697;0.7105624337454299;RECEIVED
56;0;-123.12293496320055;-0.09203509328111181;14.144000000000002;7;500;14;868100000;868100000;4365.718268509776;0.35528121687271497;LOST
31;0;-120.1942250031405;2.836674866778935;56.57600000000001;7;125;14;867100000;867100000;3466.361925708278;1.4211248674908599;RECEIVED
71;0;-127.93808631165658;-4.907186441737139;14.144000000000002;7;500;14;867700000;867700000;2948.585593127661;0.35528121687271497;LOST
14;0;-126.95530468196262;-3.9244048120431785;329.728;12;500;14;867500000;867500000;3331.324811542699;8.282392892887906;RECEIVED
55;0;-126.00040183890792;-2.9695019689884816;659.456;12;250;14;868500000;868500000;3472.5427283188324;16.56478578577581;RECEIVED
10;0;-130.45345635205044;-7.422556482131;14.144000000000002;7;500;14;868500000;868500000;4363.23102757578;0.35528121687271497;LOST
24;0;-122.56032332184958;0.4705765480698574;185.344;10;250;14;867700000;867700000;2353.687319930156;4.655630787617115;RECEIVED
67;0;-112.14022599139712;10.890673878522321;46.336;9;500;14;868300000;868300000;657.6724108551308;1.1639076969042788;RECEIVED
37;0;-127.09977649059459;-4.068876620675155;25.728;8;500;14;867500000;867500000;3616.8928654302163;0.6462581410987847;LOST
85;0;-127.42840593132857;-4.397506061409132;1318.912;12;125;14;867300000;867300000;4760.471405228688;33.12957157155162;RECEIVED
64;0;-125.83297523666585;-2.802075366746408;14.144000000000002;7;500;14;867700000;867700000;4852.087488906192;0.35528121687271497;LOST
92;0;-126.78346947809325;-3.7525696081738147;46.336;9;500;14;867100000;867100000;4654.802358854778;1.1639076969042788;RECEIVED
6;0;-139.02989722643153;-15.998997356512092;102.912;8;125;14;867700000;867700000;3736.098098283823;2.5850325643951386;LOST
50;0;-123.44005328561673;-0.4091534156972898;14.144000000000002;7;500;14;868300000;868300000;2405.9160417603935;0.35528121687271497;LOST
54;0;-113.26071652096131;9.770183348958128;25.728;8;500;14;867500000;867500000;755.8108228915487;0.6462581410987847;RECEIVED
16;0;-121.91807963681552;1.1128202331039176;14.144000000000002;7;500;14;868300000;868300000;2687.680226515052;0.35528121687271497;LOST
18;0;-117.9450711743855;5.085828695533934;25.728;8;500;14;868100000;868100000;1803.92932234054;0.6462581410987847;RECEIVED
83;0;-134.32938249618547;-11.298482626266036;164.864;11;500;14;868500000;868500000;1972.6170434222654;4.141196446443953;LOST
6;0;-115.5107361504424;7.52016371947704;92.672;9;250;14;867900000;867900000;3736.098098283823;2.3278153938085575;RECEIVED
65;0;-132.63642919083583;-9.60552932091639;51.456;8;250;14;867500000;867500000;3136.311527893873;1.2925162821975693;LOST
17;0;-117.60992756388384;5.420972306035594;329.728;11;250;14;867900000;867900000;1941.1177192535233;8.282392892887906;RECEIVED
7;0;-105.83509697975829;17.195802890161147;185.344;10;250;14;867100000;867100000;924.2001947630177;4.655630787617115;RECEIVED
39;0;-131.7021961604933;-8.67129629057385;741.376;11;125;14;868100000;868100000;4429.459222072148;18.62252315046846;RECEIVED
33;0;-131.15818612392127;-8.127286254001831;1318.912;12;125;14;867500000;867500000;2713.2010614770147;33.12957157155162;RECEIVED
46;0;-125.61932270761798;-2.5884228376985448;92.672;10;500;14;867900000;867900000;4563.02465476574;2.3278153938085575;RECEIVED
18;0;-131.2772744462847;-8.24637457636527;92.672;9;250;14;868500000;868500000;1803.92932234054;2.3278153938085575;LOST
51;0;-120.27268020860319;2.7582196613162466;329.728;11;250;14;868100000;868100000;4058.7122341944864;8.282392892887906;RECEIVED
73;0;-125.94913221914257;-2.918232349223132;102.912;8;125;14;867700000;867700000;4572.833804108783;2.5850325643951386;RECEIVED
49;0;-117.0565408371032;5.974359032816238;1318.912;12;125;14;867300000;867300000;2361.7808958495707;33.12957157155162;RECEIVED
77;0;-140.64016306911358;-17.609263199194146;329.728;12;500;14;868100000;868100000;3665.996181121852;8.282392892887906;LOST
93;0;-135.57743338686979;-12.546533516950348;102.912;8;125;14;868300000;868300000;3236.5614469680627;2.5850325643951386;LOST
79;0;-133.56296912488634;-10.532069254966899;329.728;12;500;14;868100000;868100000;3375.399383776681;8.282392892887906;LOST
15;0;-114.22410141515738;8.80679845476206;51.456;8;250;14;868500000;868500000;3584.9379353065515;1.2925162821975693;RECEIVED
20;0;-115.08516999183314;7.945729878086297;185.344;9;125;14;867300000;867300000;1180.1461773865135;4.655630787617115;RECEIVED
