node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS;ROLE
63;0;-127.91885516494892;-4.887955295029485;92.672;9;250;14;867100000;867100000;1612.3306112581254;2.3278153938085575;RECEIVED;CM
49;0;-117.16283247897147;5.868067390947971;28.288000000000004;7;250;14;867300000;867300000;1451.4727003977719;0.7105624337454299;RECEIVED;CM
14;0;-114.95775503719383;8.073144832725603;25.728;8;500;14;868300000;868300000;1303.3100168417336;0.6462581410987847;RECEIVED;CM
96;0;-128.26707212742534;-5.236172257505899;92.672;9;250;14;868500000;868500000;1868.4220615267848;2.3278153938085575;LOST;CM
59;0;-117.08471065581037;5.946189214109069;25.728;8;500;14;867100000;867100000;1430.7012266717325;0.6462581410987847;RECEIVED;CM
17;0;-128.0156163207336;-4.984716450814176;164.864;11;500;14;867100000;867100000;1647.0385544971314;4.141196446443953;RECEIVED;CM
14;0;-111.39166139345298;11.63923847646646;14.144000000000002;7;500;14;868100000;868100000;1303.3100168417336;0.35528121687271497;RECEIVED;CM
9;0;-128.60542324505883;-5.5745233751393926;51.456;8;250;14;868100000;868100000;1793.3613690497518;1.2925162821975693;LOST;CM
71;0;-114.44309232071512;8.587807549204314;659.456;12;250;14;868500000;868500000;1810.1527559849749;16.56478578577581;RECEIVED;CM
1;0;-141.68246837955445;-18.651568509635013;659.456;12;250;14;868100000;868100000;1772.1472850753687;16.56478578577581;LOST;CM
58;0;-115.0589279246787;7.971971945240739;185.344;10;250;14;867100000;867100000;1962.7679434920472;4.655630787617115;RECEIVED;CM
79;0;-118.73573744444002;4.295162425479418;164.864;11;500;14;868500000;868500000;1652.2278898505497;4.141196446443953;RECEIVED;CM
9;0;-133.16392628967873;-10.13302641975929;741.376;11;125;14;867300000;867300000;1793.3613690497518;18.62252315046846;RECEIVED;CM
36;0;-120.89664734739773;2.134252522521706;185.344;9;125;14;867900000;867900000;780.4511515783676;4.655630787617115;RECEIVED;CM
32;0;-119.44166890826111;3.5892309616583304;329.728;11;250;14;868300000;868300000;1985.7253082941759;8.282392892887906;RECEIVED;CM
67;0;-120.03604227895866;2.994857590960777;659.456;12;250;14;867500000;867500000;950.4830350932099;16.56478578577581;RECEIVED;CM
78;0;-104.72100055319562;18.309899316723815;25.728;8;500;14;868500000;868500000;482.7017712832635;0.6462581410987847;RECEIVED;CM
78;0;-121.19157018271576;1.8393296872036728;659.456;12;250;14;867500000;867500000;482.7017712832635;16.56478578577581;RECEIVED;CM
50;0;-99.95820761271496;23.07269225720448;1318.912;12;125;14;867700000;867700000;1931.6961458780208;33.12957157155162;RECEIVED;CM
46;0;-119.67244090850832;3.3584589614111167;28.288000000000004;7;250;14;867700000;867700000;1803.0468657247932;0.7105624337454299;RECEIVED;CM
64;0;-119.12529503574868;3.9056048341707594;370.688;10;125;14;867100000;867100000;1999.0160079399063;9.31126157523423;RECEIVED;CM
48;0;-114.816728745537;8.214171124382432;329.728;11;250;14;868500000;868500000;571.777928919961;8.282392892887906;RECEIVED;CM
52;0;-93.47163126878851;29.559268601130924;51.456;8;250;14;868100000;868100000;494.96868587820785;1.2925162821975693;RECEIVED;CM
87;0;-125.39990627809652;-2.3690064081770856;329.728;11;250;14;868300000;868300000;1962.93784924536;8.282392892887906;RECEIVED;CM
17;0;-123.56373707755984;-0.532837207640398;28.288000000000004;7;250;14;867500000;867500000;1647.0385544971314;0.7105624337454299;RECEIVED;CM
