node_id,x,y,cluster_id,role,residual_energy_J,alive
1,802,-1337,0,CM,0.992414,YES
4,-357,-1600,0,CM,0.992761,YES
5,1201,-1387,0,CM,0.979381,YES
6,241,-380,0,CM,0.981297,YES
14,1163,-1079,0,CM,0.979513,YES
15,-57,-1450,0,CM,0.998569,YES
21,1001,-992,0,CM,0.984236,YES
22,-143,-613,0,CM,0.987086,YES
27,-767,-1431,0,CM,0.98163,YES
29,-823,-1765,0,CM,0.97605,YES
31,882,-933,0,CM,0.986925,YES
39,214,-332,0,CM,0.979442,YES
43,219,-821,0,CM,0.994468,YES
45,1253,-1197,0,CM,0.976815,YES
48,-189,-549,0,CM,0.98448,YES
50,-43,-1192,0,CM,0.998454,YES
61,-240,-1276,0,CM,0.996238,YES
62,1072,-988,0,CM,0.981767,YES
63,663,-1009,0,CM,0.993191,YES
67,-856,-1748,0,CM,0.974975,YES
73,679,-1570,0,CM,0.994126,YES
74,818,-1391,0,CM,0.991974,YES
77,509,-305,0,CM,0.976274,YES
78,960,-1298,0,CM,0.987985,YES
87,311,-1455,0,CM,0.99943,YES
88,187,-1345,0,CH,0.962802,YES
90,-125,-1702,0,CM,0.995484,YES
94,56,-414,0,CM,0.982302,YES
0,334,377,1,CM,0.983419,YES
7,666,1743,1,CM,0.989279,YES
10,1125,1355,1,CM,0.997526,YES
17,1161,508,1,CM,0.992802,YES
25,933,1062,1,CH,0.959836,YES
28,1323,1409,1,CM,0.99453,YES
30,1224,780,1,CM,0.996696,YES
33,1154,637,1,CM,0.995391,YES
37,740,471,1,CM,0.992249,YES
44,1076,1184,1,CM,0.999273,YES
55,739,1109,1,CM,0.999183,YES
64,1555,779,1,CM,0.990641,YES
71,633,833,1,CM,0.997131,YES
82,644,1852,1,CM,0.985828,YES
84,831,1249,1,CM,0.999073,YES
92,567,236,1,CM,0.983655,YES
99,529,662,1,CM,0.993516,YES
3,-15,1554,2,CM,0.991837,YES
8,-575,877,2,CM,0.998776,YES
12,-395,1434,2,CM,0.996827,YES
13,-608,1281,2,CM,0.99783,YES
18,-378,1783,2,CM,0.988847,YES
26,-82,1742,2,CM,0.988155,YES
34,-308,654,2,CM,0.996915,YES
40,-119,1580,2,CM,0.992625,YES
42,-570,1331,2,CM,0.997596,YES
47,-454,1504,2,CM,0.995534,YES
51,4,698,2,CM,0.994593,YES
52,271,1497,2,CM,0.987036,YES
57,-234,987,2,CM,0.999449,YES
58,-240,874,2,CM,0.999005,YES
59,-201,1642,2,CM,0.991953,YES
70,43,1440,2,CM,0.992999,YES
79,-1215,1557,2,CM,0.980926,YES
86,-349,880,2,CM,0.999455,YES
89,-389,1037,2,CH,0.975203,YES
91,-252,944,2,CM,0.999432,YES
96,-367,1509,2,CM,0.995515,YES
97,-15,286,2,CM,0.985902,YES
98,-347,924,2,CM,0.999689,YES
2,-724,-198,3,CM,0.998754,YES
9,-1278,-1251,3,CM,0.982219,YES
11,-478,-728,3,CM,0.995314,YES
16,-1648,143,3,CM,0.980879,YES
19,-1518,-103,3,CM,0.988987,YES
20,-556,-600,3,CM,0.997618,YES
23,-1322,302,3,CM,0.985176,YES
35,-569,420,3,CM,0.984545,YES
36,-931,593,3,CM,0.979551,YES
38,-1382,-979,3,CM,0.987828,YES
41,-845,-414,3,CH,0.981974,YES
46,-612,-810,3,CM,0.995758,YES
49,-1201,-299,3,CM,0.997181,YES
53,-1675,-921,3,CM,0.981061,YES
54,-525,-202,3,CM,0.997033,YES
60,-761,-1131,3,CM,0.989557,YES
65,-682,459,3,CM,0.984206,YES
66,-390,-25,3,CM,0.992813,YES
68,-1110,-437,3,CM,0.998565,YES
69,-114,37,3,CM,0.985225,YES
72,-73,161,3,CM,0.981448,YES
75,-839,-995,3,CM,0.993228,YES
80,-756,239,3,CM,0.991293,YES
81,-495,31,3,CM,0.993569,YES
83,-1405,-360,3,CM,0.99365,YES
85,-1009,424,3,CM,0.985397,YES
93,-930,550,3,CM,0.98125,YES
95,-1688,-643,3,CM,0.984718,YES
24,1648,-886,4,CM,0.995183,YES
32,1555,270,4,CM,0.989445,YES
56,1929,-14,4,CM,0.99634,YES
76,1789,-417,4,CH,0.932458,YES
