node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS;ROLE
67;0;-97.79764378002754;25.233256089891896;329.728;12;500;14;868300000;868300000;1304.1476143443272;8.282392892887906;RECEIVED;CM
13;0;-114.96222627441372;8.068673595505715;102.912;8;125;14;867700000;867700000;1637.4919847132078;2.5850325643951386;RECEIVED;CM
54;0;-108.2955041659966;14.735395703922833;329.728;12;500;14;867500000;867500000;1305.3811703866422;8.282392892887906;RECEIVED;CM
48;0;-100.60343859683825;22.427461273081192;185.344;10;250;14;867900000;867900000;1308.6244686692971;4.655630787617115;RECEIVED;CM
87;0;-125.74362393416163;-2.7127240642421953;164.864;11;500;14;867300000;867300000;1495.0535107480266;4.141196446443953;RECEIVED;CH
17;0;-95.73854434475061;27.29235552516883;92.672;10;500;14;867100000;867100000;1814.5153622937448;2.3278153938085575;RECEIVED;CM
5;0;-92.39385319062883;30.637046679290606;51.456;8;250;14;867300000;867300000;1018.4007069911136;1.2925162821975693;RECEIVED;CM
94;0;-107.61413650368016;15.41676336623928;92.672;9;250;14;868100000;868100000;1698.877570633034;2.3278153938085575;RECEIVED;CM
31;0;-95.40730366194062;27.62359620797882;92.672;9;250;14;867900000;867900000;1719.9584297302072;2.3278153938085575;RECEIVED;CM
22;0;-100.06297291003729;22.96792695988215;14.144000000000002;7;500;14;867700000;867700000;1285.8009177162692;0.35528121687271497;RECEIVED;CM
57;0;-112.05344846131024;10.977451408609198;741.376;11;125;14;868100000;868100000;1724.811004139294;18.62252315046846;RECEIVED;CM
84;0;-113.63808269160945;9.392817178309983;92.672;9;250;14;867100000;867100000;1952.8074661881033;2.3278153938085575;RECEIVED;CM
41;0;-109.42810133907689;13.602798530842549;14.144000000000002;7;500;14;867500000;867500000;1848.6073136282891;0.35528121687271497;RECEIVED;CM
71;0;-103.82869698160138;19.202202888318055;185.344;9;125;14;868100000;868100000;1841.883003884883;4.655630787617115;RECEIVED;CM
71;0;-111.82289495045111;11.208004919468323;28.288000000000004;7;250;14;867700000;867700000;1841.883003884883;0.7105624337454299;RECEIVED;CM
56;0;-114.25190056169285;8.778999308226588;185.344;10;250;14;867700000;867700000;1075.5696165288418;4.655630787617115;RECEIVED;CM
29;0;-104.92659391363871;18.104305956280726;185.344;9;125;14;868100000;868100000;1854.1372656845015;4.655630787617115;RECEIVED;CM
5;0;-113.84742717027655;9.183472699642891;1318.912;12;125;14;867700000;867700000;1018.4007069911136;33.12957157155162;RECEIVED;CM
53;0;-104.11916038675825;18.911739483161185;51.456;8;250;14;867500000;867500000;1760.051419703413;1.2925162821975693;RECEIVED;CM
14;0;-116.82919804314628;6.20170182677316;28.288000000000004;7;250;14;867900000;867900000;1423.2375065322021;0.7105624337454299;RECEIVED;CM
13;0;-110.65759552935864;12.373304340560793;46.336;9;500;14;867500000;867500000;1637.4919847132078;1.1639076969042788;RECEIVED;CM
1;0;-99.72387504895441;23.307024820965026;329.728;11;250;14;868100000;868100000;1363.0836364654958;8.282392892887906;RECEIVED;CM
3;0;-112.49463821272788;10.53626165719156;92.672;10;500;14;868300000;868300000;988.762863380295;2.3278153938085575;RECEIVED;CM
53;0;-112.24465667983063;10.786243190088811;25.728;8;500;14;867700000;867700000;1760.051419703413;0.6462581410987847;RECEIVED;CM
61;0;-112.21215321578063;10.818746654138806;92.672;10;500;14;867100000;867100000;1640.5517364594145;2.3278153938085575;RECEIVED;CM
56;0;-104.54053801564831;18.49036185427113;102.912;8;125;14;867700000;867700000;1075.5696165288418;2.5850325643951386;RECEIVED;CM
60;0;-108.70660350965936;14.324296360260078;25.728;8;500;14;867900000;867900000;751.2363143512166;0.6462581410987847;RECEIVED;CM
87;0;-118.4030020930712;4.627897776848243;51.456;8;250;14;868300000;868300000;1495.0535107480266;1.2925162821975693;RECEIVED;CH
60;0;-108.46164690551221;14.569252964407227;659.456;12;250;14;867500000;867500000;751.2363143512166;16.56478578577581;RECEIVED;CM
