node_id,x,y,cluster_id,role,residual_energy_J,alive
3,-906,-396,0,CM,0.992851,YES
8,-1924,-242,0,CM,0.979058,YES
12,-1547,-97,0,CM,0.983178,YES
33,-1442,-413,0,CM,0.993102,YES
34,-1227,-1058,0,CM,0.999595,YES
40,-825,-1711,0,CM,0.985476,YES
41,-943,-1590,0,CM,0.990299,YES
46,-1243,-126,0,CM,0.986878,YES
47,-1625,-1010,0,CM,0.9957,YES
51,-1007,-1055,0,CM,0.999153,YES
52,-939,-738,0,CM,0.998169,YES
54,-1294,-172,0,CM,0.988116,YES
62,-879,-1142,0,CM,0.997416,YES
76,-774,-1493,0,CM,0.990565,YES
80,-1529,-751,0,CM,0.996733,YES
86,-598,-623,0,CM,0.99155,YES
87,-1169,-932,0,CH,0.955044,YES
90,-1829,-657,0,CM,0.989756,YES
93,-1941,112,0,CM,0.966262,YES
94,-827,-1484,0,CM,0.991547,YES
97,-1240,-1556,0,CM,0.992092,YES
98,-1139,-1121,0,CM,0.999248,YES
1,-1234,579,1,CM,0.986097,YES
7,-447,1074,1,CM,0.999767,YES
11,-815,1802,1,CM,0.985042,YES
18,-511,993,1,CH,0.974893,YES
21,-167,956,1,CM,0.997586,YES
24,-568,216,1,CM,0.98784,YES
31,-364,1681,1,CM,0.990081,YES
57,-1237,1202,1,CM,0.988565,YES
69,-402,1836,1,CM,0.985529,YES
74,-688,664,1,CM,0.997189,YES
79,-965,412,1,CM,0.989106,YES
84,-1929,304,1,CM,0.950271,YES
95,-1563,294,1,CM,0.968074,YES
99,-733,1490,1,CM,0.994054,YES
4,263,-409,2,CM,0.990723,YES
5,612,-814,2,CM,0.995806,YES
6,1340,-104,2,CM,0.993706,YES
10,1297,146,2,CM,0.98921,YES
13,872,-1386,2,CM,0.98398,YES
20,871,44,2,CM,0.994101,YES
30,1415,35,2,CM,0.989833,YES
32,485,-618,2,CM,0.995568,YES
37,1579,-1047,2,CM,0.985646,YES
42,1103,-1052,2,CM,0.993208,YES
53,1255,-1234,2,CM,0.987018,YES
55,692,-1025,2,CM,0.99313,YES
59,1045,-1190,2,CM,0.990063,YES
64,939,-1273,2,CM,0.987843,YES
65,730,-339,2,CM,0.998634,YES
67,865,-976,2,CM,0.995227,YES
68,839,-1015,2,CM,0.994355,YES
71,1783,-462,2,CM,0.985679,YES
73,938,-494,2,CH,0.977248,YES
75,1072,-921,2,CM,0.995974,YES
81,723,-641,2,CM,0.998623,YES
88,1498,-1170,2,CM,0.984568,YES
91,579,-52,2,CM,0.993495,YES
96,1930,-344,2,CM,0.979849,YES
9,234,1087,3,CM,0.994719,YES
15,538,1690,3,CM,0.984859,YES
23,679,832,3,CH,0.976727,YES
25,946,326,3,CM,0.993433,YES
26,351,298,3,CM,0.992125,YES
28,1410,582,3,CM,0.988043,YES
35,805,1194,3,CM,0.997042,YES
36,542,362,3,CM,0.995187,YES
39,1336,369,3,CM,0.98706,YES
43,1539,878,3,CM,0.985146,YES
49,37,848,3,CM,0.991732,YES
50,605,1730,3,CM,0.983742,YES
61,1073,1241,3,CM,0.99353,YES
63,374,1006,3,CM,0.997514,YES
70,1082,429,3,CM,0.993484,YES
77,220,1708,3,CM,0.980419,YES
82,1193,1294,3,CM,0.990427,YES
89,1220,1395,3,CM,0.987787,YES
0,-521,-1272,4,CM,0.994602,YES
2,292,-1843,4,CM,0.990761,YES
14,287,-1394,4,CM,0.997761,YES
16,51,-1400,4,CM,0.999355,YES
17,-395,-1771,4,CM,0.991112,YES
19,-100,-621,4,CM,0.992329,YES
22,-400,-1222,4,CM,0.996842,YES
27,677,-1708,4,CM,0.986173,YES
29,-89,-1852,4,CM,0.992147,YES
38,-649,-1647,4,CM,0.988215,YES
44,64,-275,4,CM,0.981571,YES
45,525,-1669,4,CM,0.990564,YES
48,-427,-1237,4,CM,0.996401,YES
56,487,-959,4,CM,0.993668,YES
58,495,-1558,4,CM,0.992874,YES
60,160,-734,4,CM,0.994482,YES
66,732,-1484,4,CM,0.987876,YES
72,-96,-1033,4,CM,0.999019,YES
78,-4,-1232,4,CH,0.969391,YES
83,-347,-1816,4,CM,0.990806,YES
85,7,-215,4,CM,0.979292,YES
92,401,-1154,4,CM,0.996578,YES
