timestamp,node_id,bs_idx,sf,bw,freq,rssi,snr,toa,energy_j,status,role
4703.6,13,0,7,500,867300000,-114.95,8.08,14.14,0.000355,RECEIVED,CH
12823.98,4,0,7,500,867300000,-124.67,-1.64,14.14,0.000355,LOST,CM
13050.99,89,0,7,500,867700000,-106.22,16.81,14.14,0.000355,RECEIVED,CM
15729.39,59,0,7,500,867500000,-105.89,17.14,14.14,0.000355,RECEIVED,CM
19304.2,17,0,7,500,868100000,-95.36,27.67,14.14,0.000355,RECEIVED,CM
20767.3,30,0,7,250,867900000,-102.34,20.69,28.29,0.000711,RECEIVED,CM
20795.9,62,0,7,500,867300000,-99.53,23.5,14.14,0.000355,RECEIVED,CM
23501.46,9,0,7,500,868300000,-109.03,14.0,14.14,0.000355,RECEIVED,CM
32336.67,65,0,7,500,868300000,-112.3,10.73,14.14,0.000355,RECEIVED,CM
32691.31,11,0,7,500,867700000,-126.91,-3.88,14.14,0.000355,LOST,CM
35013.48,56,0,7,500,868500000,-110.89,12.14,14.14,0.000355,RECEIVED,CM
35582.4,80,0,7,500,868500000,-100.7,22.33,14.14,0.000355,RECEIVED,CM
37422.27,69,0,7,500,867300000,-113.23,9.8,14.14,0.000355,RECEIVED,CM
42235.59,83,0,7,500,868500000,-88.35,34.68,14.14,0.000355,RECEIVED,CM
50074.91,16,0,7,500,868100000,-101.92,21.11,14.14,0.000355,RECEIVED,CM
57862.29,66,0,7,500,867900000,-101.86,21.17,14.14,0.000355,RECEIVED,CM
59712.49,22,0,7,250,867500000,-123.45,-0.42,28.29,0.000711,RECEIVED,CM
62148.1,28,0,7,500,868300000,-106.13,16.9,14.14,0.000355,RECEIVED,CM
65777.46,12,0,7,500,868500000,-132.78,-9.75,14.14,0.000355,LOST,CM
66563.55,97,0,7,500,867100000,-116.04,7.0,14.14,0.000355,RECEIVED,CM
67293.28,2,0,7,500,867100000,-104.29,18.74,14.14,0.000355,RECEIVED,CM
67329.11,43,0,7,500,867100000,-95.77,27.26,14.14,0.000355,RECEIVED,CM
67675.47,4,0,7,500,868500000,-107.31,15.72,14.14,0.000355,RECEIVED,CM
67889.37,67,0,7,500,867300000,-107.37,15.66,14.14,0.000355,RECEIVED,CM
68642.91,9,0,7,500,868300000,-91.75,31.28,14.14,0.000355,RECEIVED,CM
68670.94,98,0,7,500,867900000,-116.0,7.03,14.14,0.000355,RECEIVED,CM
69723.49,21,0,7,500,867100000,-124.0,-0.97,14.14,0.000355,LOST,CM
70355.56,47,0,7,500,868100000,-108.87,14.17,14.14,0.000355,RECEIVED,CM
70366.15,3,0,7,500,868300000,-88.17,34.86,14.14,0.000355,RECEIVED,CM
72749.37,14,0,7,500,868300000,-108.09,14.94,14.14,0.000355,RECEIVED,CM
74341.1,5,0,7,500,868300000,-116.69,6.34,14.14,0.000355,RECEIVED,CM
75277.3,86,0,7,500,867700000,-114.5,8.53,14.14,0.000355,RECEIVED,CM
76035.4,23,0,7,500,867900000,-100.11,22.92,14.14,0.000355,RECEIVED,CM
76183.69,57,0,7,250,868500000,-115.91,7.12,28.29,0.000711,RECEIVED,CH
81806.01,30,0,7,500,867900000,-117.64,5.39,14.14,0.000355,RECEIVED,CM
82836.91,93,0,7,500,868300000,-101.47,21.56,14.14,0.000355,RECEIVED,CM
85589.64,63,0,7,500,867500000,-104.02,19.01,14.14,0.000355,RECEIVED,CH
86003.21,58,0,7,500,867300000,-103.85,19.18,14.14,0.000355,RECEIVED,CM
92325.12,95,0,7,500,867300000,-103.21,19.82,14.14,0.000355,RECEIVED,CM
95846.89,79,0,7,500,868300000,-108.63,14.4,14.14,0.000355,RECEIVED,CM
100023.28,90,0,7,500,867700000,-117.74,5.29,14.14,0.000355,RECEIVED,CM
