cluster_id,sent,received,lost,collided,acks,PDR,energy_J,bits_per_joule,avg_tx_ms,avg_rx_ms,avg_sleep_ms,duty_cycle_avg
0,202,186,16,0,186,0.9208,0.132277,224982.1763,277.16,502.63,3302508.25,8.4e-05
1,316,257,59,0,257,0.8133,0.427019,96295.4617,607.14,478.57,3232008.41,0.000188
2,279,261,18,0,261,0.9355,0.209568,199267.3587,362.74,591.3,3394839.07,0.000107
3,364,333,31,0,332,0.9148,0.222766,239174.5829,295.62,595.0,3340398.62,8.8e-05
