node_id,x,y,cluster_id,role,residual_energy_J,alive
2,840,78,0,CM,0.993939,YES
4,829,1598,0,CM,0.975871,YES
9,1796,-495,0,CM,0.96964,YES
13,1538,845,0,CM,0.994875,YES
14,545,930,0,CM,0.99007,YES
20,1419,-266,0,CM,0.985254,YES
21,1253,18,0,CM,0.994179,YES
28,1158,802,0,CM,0.998626,YES
34,803,1623,0,CM,0.974474,YES
35,1377,406,0,CM,0.998414,YES
49,914,1381,0,CM,0.984976,YES
52,1371,171,0,CM,0.996079,YES
55,1268,646,0,CM,0.999403,YES
56,1899,568,0,CM,0.988232,YES
66,661,1466,0,CM,0.978486,YES
70,1133,543,0,CH,0.968144,YES
75,1872,-499,0,CM,0.967342,YES
76,1169,-226,0,CM,0.988127,YES
78,932,1664,0,CM,0.974039,YES
79,1919,372,0,CM,0.987039,YES
80,1244,810,0,CM,0.998308,YES
82,451,577,0,CM,0.990654,YES
86,1232,1152,0,CM,0.992366,YES
97,530,479,0,CM,0.992626,YES
98,1541,161,0,CM,0.993732,YES
11,-293,-427,1,CM,0.991836,YES
17,248,-34,1,CM,0.996481,YES
18,-109,184,1,CH,0.99891,YES
19,-306,404,1,CM,0.998236,YES
47,-526,432,1,CM,0.995272,YES
50,-380,373,1,CM,0.997797,YES
51,-138,-427,1,CM,0.992497,YES
64,202,498,1,CM,0.996074,YES
65,-17,-371,1,CM,0.99365,YES
67,-636,-259,1,CM,0.9905,YES
71,-16,-562,1,CM,0.988677,YES
85,16,443,1,CM,0.998326,YES
88,-147,256,1,CM,0.999847,YES
90,204,107,1,CM,0.997902,YES
92,304,602,1,CM,0.993074,YES
3,139,-622,2,CM,0.989673,YES
5,188,-1032,2,CM,0.996439,YES
6,-262,-1499,2,CM,0.983958,YES
7,26,-1889,2,CM,0.984114,YES
23,484,-575,2,CM,0.992239,YES
25,955,-577,2,CM,0.989622,YES
27,1605,-1099,2,CM,0.97872,YES
32,673,-1610,2,CM,0.996271,YES
33,900,-625,2,CM,0.991522,YES
39,973,-1322,2,CM,0.996511,YES
41,134,-1022,2,CM,0.995473,YES
42,151,-1241,2,CM,0.996281,YES
44,578,-1190,2,CH,0.964689,YES
53,1156,-850,2,CM,0.990986,YES
57,34,-690,2,CM,0.989061,YES
58,144,-1223,2,CM,0.996191,YES
61,1157,-970,2,CM,0.992307,YES
63,1635,-1151,2,CM,0.977605,YES
68,971,-1621,2,CM,0.993176,YES
69,559,-644,2,CM,0.99401,YES
72,836,-915,2,CM,0.997136,YES
73,595,-1248,2,CM,0.999907,YES
84,379,-781,2,CM,0.995842,YES
93,1025,-547,2,CM,0.987715,YES
95,777,-430,2,CM,0.987636,YES
96,225,-1254,2,CM,0.997406,YES
99,739,-1277,2,CM,0.99931,YES
0,-1575,-1169,3,CM,0.990723,YES
8,-1505,-515,3,CM,0.996719,YES
12,-1415,112,3,CM,0.986494,YES
15,-1127,-657,3,CH,0.965789,YES
24,-1390,-1218,3,CM,0.992302,YES
29,-958,-1429,3,CM,0.987489,YES
36,-987,-113,3,CM,0.993669,YES
43,-885,-643,3,CM,0.998805,YES
48,-413,-1210,3,CM,0.983668,YES
59,-1939,-252,3,CM,0.983513,YES
60,-774,-1007,3,CM,0.995038,YES
77,-1830,-549,3,CM,0.989863,YES
81,-837,-648,3,CM,0.998296,YES
83,-759,-203,3,CM,0.993149,YES
91,-1633,-64,3,CM,0.987826,YES
1,-1147,1525,4,CM,0.991499,YES
10,-1322,1421,4,CM,0.992578,YES
16,-1595,863,4,CM,0.993767,YES
22,-1537,436,4,CM,0.991004,YES
26,-805,1798,4,CM,0.98215,YES
30,-534,1006,4,CM,0.994597,YES
31,-4,1225,4,CM,0.976258,YES
37,-1406,947,4,CM,0.99719,YES
38,214,1231,4,CM,0.966208,YES
40,-361,1320,4,CM,0.986994,YES
45,-1038,883,4,CH,0.962649,YES
46,-1139,330,4,CM,0.99366,YES
54,-1009,1270,4,CM,0.996968,YES
62,-915,418,4,CM,0.995353,YES
74,6,1033,4,CM,0.977731,YES
87,-902,505,4,CM,0.996752,YES
89,-633,503,4,CM,0.993811,YES
94,-1120,836,4,CM,0.999801,YES
