cluster_id,sent,received,lost,collided,PDR,energy_J,bits_per_joule
0,276,257,19,0,0.9312,0.133097,308947.5518
1,203,181,22,0,0.8916,0.13479,214852.9962
2,208,179,29,0,0.8606,0.168569,169900.8734
3,249,220,29,0,0.8835,0.172953,203523.7059
4,237,222,15,0,0.9367,0.149106,238220.4632
