node_id,x,y,cluster_id,role,residual_energy_J,alive
1,1138,-333,0,CM,0.996261,YES
3,1641,-1085,0,CM,0.995488,YES
7,1476,-1019,0,CM,0.99769,YES
14,1025,-1423,0,CM,0.987171,YES
27,1336,-986,0,CM,0.998315,YES
38,1683,-214,0,CM,0.993266,YES
42,1104,-1268,0,CM,0.992132,YES
45,863,-1194,0,CM,0.990019,YES
46,1366,-699,0,CH,0.952657,YES
53,1663,-1006,0,CM,0.996331,YES
58,1032,-461,0,CM,0.996616,YES
59,1005,-290,0,CM,0.994028,YES
66,1373,-248,0,CM,0.995911,YES
68,1808,-646,0,CM,0.996017,YES
73,1315,-119,0,CM,0.9932,YES
82,1036,-723,0,CM,0.99779,YES
86,1457,-297,0,CM,0.996582,YES
90,1147,-616,0,CM,0.998883,YES
91,1452,-1277,0,CM,0.99315,YES
92,1618,-577,0,CM,0.998412,YES
93,1482,-61,0,CM,0.99157,YES
96,1249,-690,0,CM,0.999705,YES
12,178,-1884,1,CM,0.977332,YES
13,-2,-166,1,CM,0.989842,YES
18,210,-1643,1,CM,0.985566,YES
20,141,-1643,1,CM,0.986415,YES
24,-453,-620,1,CM,0.996709,YES
28,704,-1242,1,CM,0.983175,YES
32,271,-1807,1,CM,0.979022,YES
48,445,-1691,1,CM,0.979709,YES
54,-664,-704,1,CM,0.993795,YES
56,434,-1270,1,CM,0.990309,YES
60,-132,-866,1,CH,0.984455,YES
63,-43,-153,1,CM,0.989654,YES
67,-236,-1881,1,CM,0.979159,YES
70,-87,-498,1,CM,0.997231,YES
81,-1063,-1395,1,CM,0.977048,YES
83,-117,-713,1,CM,0.999507,YES
85,452,-711,1,CM,0.992678,YES
0,-567,341,2,CM,0.990067,YES
2,-1645,186,2,CM,0.996243,YES
8,-1513,505,2,CM,0.994832,YES
17,-1731,806,2,CM,0.984529,YES
19,-1471,1078,2,CM,0.979158,YES
23,-971,400,2,CM,0.996753,YES
26,-1722,611,2,CM,0.989549,YES
29,-1759,-250,2,CM,0.991971,YES
30,-704,-52,2,CM,0.99418,YES
31,-1783,-672,2,CM,0.982178,YES
36,-824,-263,2,CM,0.994316,YES
37,-1912,-470,2,CM,0.984286,YES
61,-1224,88,2,CH,0.969663,YES
69,-1564,1183,2,CM,0.973688,YES
72,-1862,404,2,CM,0.989842,YES
76,-539,65,2,CM,0.990585,YES
78,-711,245,2,CM,0.994224,YES
88,-934,612,2,CM,0.992806,YES
89,-1839,-181,2,CM,0.990968,YES
4,-586,972,3,CM,0.99702,YES
10,-132,179,3,CM,0.989858,YES
11,204,229,3,CM,0.987903,YES
33,-95,1759,3,CM,0.984468,YES
35,217,1652,3,CM,0.984581,YES
40,-679,1716,3,CM,0.981822,YES
41,239,348,3,CM,0.990141,YES
44,-1093,1495,3,CM,0.977004,YES
47,-323,1312,3,CM,0.9961,YES
51,36,617,3,CM,0.997313,YES
52,95,1781,3,CM,0.982087,YES
57,-88,77,3,CM,0.986588,YES
62,26,95,3,CM,0.986343,YES
64,-792,1129,3,CM,0.992048,YES
65,-868,1224,3,CM,0.989062,YES
74,-773,928,3,CM,0.993628,YES
75,61,1838,3,CM,0.980374,YES
80,124,1673,3,CM,0.985348,YES
84,363,1154,3,CM,0.991954,YES
87,307,1064,3,CM,0.99398,YES
94,-211,886,3,CH,0.983147,YES
98,-384,1454,3,CM,0.992929,YES
99,-2,1567,3,CM,0.989831,YES
5,841,1688,4,CM,0.985178,YES
6,788,429,4,CM,0.994566,YES
9,1419,745,4,CM,0.997385,YES
15,386,452,4,CM,0.987057,YES
16,766,138,4,CM,0.987579,YES
21,1660,964,4,CM,0.992993,YES
22,951,1284,4,CM,0.996079,YES
25,853,1064,4,CM,0.998143,YES
34,1113,1107,4,CM,0.998745,YES
39,1078,861,4,CH,0.961713,YES
43,1499,436,4,CM,0.992823,YES
49,584,604,4,CM,0.993778,YES
50,661,868,4,CM,0.996501,YES
55,1363,1174,4,CM,0.996396,YES
71,524,16,4,CM,0.979561,YES
77,1499,1086,4,CM,0.995423,YES
79,1666,784,4,CM,0.992947,YES
95,847,172,4,CM,0.989418,YES
97,1400,116,4,CM,0.986806,YES
