node_id,x,y,cluster_id,role,residual_energy_J,alive
7,-1564,-110,0,CM,0.976552,YES
12,-975,-1018,0,CH,0.960053,YES
13,-288,-930,0,CM,0.990386,YES
17,-1626,-283,0,CM,0.980699,YES
21,-804,-1568,0,CM,0.993345,YES
32,-333,-326,0,CM,0.982159,YES
34,-224,-716,0,CM,0.986876,YES
36,-1434,-1122,0,CM,0.99555,YES
40,-656,-1616,0,CM,0.990793,YES
44,-776,-202,0,CM,0.985871,YES
45,-1871,43,0,CM,0.961409,YES
51,-768,-1426,0,CM,0.995794,YES
57,17,-564,0,CM,0.976176,YES
59,-488,-763,0,CM,0.993936,YES
72,-635,-1007,0,CM,0.997666,YES
73,-737,-345,0,CM,0.989789,YES
96,-493,-1319,0,CM,0.993521,YES
98,-1429,-211,0,CM,0.982833,YES
1,10,1176,1,CM,0.987858,YES
3,-1130,644,1,CM,0.993108,YES
8,-267,1955,1,CM,0.96328,YES
16,-1252,367,1,CM,0.988582,YES
25,-435,1223,1,CM,0.992686,YES
26,-1079,201,1,CM,0.990592,YES
30,-848,83,1,CM,0.992169,YES
33,-1602,638,1,CM,0.977591,YES
41,-1142,665,1,CM,0.992802,YES
42,-1744,659,1,CM,0.971162,YES
43,-145,24,1,CM,0.989475,YES
48,-340,467,1,CM,0.998623,YES
52,-544,629,1,CH,0.985839,YES
54,-734,1472,1,CM,0.985045,YES
55,-1115,134,1,CM,0.988559,YES
64,-877,73,1,CM,0.991579,YES
67,-318,864,1,CM,0.997854,YES
75,81,1292,1,CM,0.983376,YES
76,-805,1052,1,CM,0.995039,YES
77,3,1553,1,CM,0.97692,YES
78,-221,774,1,CM,0.997473,YES
81,-1190,697,1,CM,0.991541,YES
83,112,1737,1,CM,0.96682,YES
84,83,186,1,CM,0.988192,YES
85,67,1442,1,CM,0.979294,YES
88,-1481,1332,1,CM,0.972536,YES
89,90,1498,1,CM,0.976838,YES
92,-146,729,1,CM,0.996612,YES
95,-1003,343,1,CM,0.99413,YES
4,1462,414,2,CM,0.997251,YES
6,498,1333,2,CM,0.981451,YES
10,1906,413,2,CM,0.988485,YES
18,1202,1160,2,CM,0.995077,YES
19,1721,204,2,CM,0.990112,YES
20,822,1697,2,CM,0.975956,YES
22,1004,1585,2,CM,0.982353,YES
29,1000,266,2,CM,0.996066,YES
31,260,382,2,CM,0.981043,YES
38,445,1123,2,CM,0.984654,YES
39,935,1169,2,CM,0.993589,YES
49,1483,1083,2,CM,0.99478,YES
53,1758,303,2,CM,0.990929,YES
61,693,595,2,CM,0.994922,YES
62,1665,527,2,CM,0.995106,YES
63,1538,770,2,CM,0.997351,YES
65,1263,419,2,CM,0.998666,YES
66,848,485,2,CM,0.996979,YES
69,770,365,2,CM,0.994635,YES
70,1181,592,2,CM,0.999871,YES
80,1024,909,2,CM,0.998232,YES
90,758,524,2,CM,0.995833,YES
97,220,662,2,CM,0.981123,YES
99,1191,665,2,CH,0.962512,YES
9,796,-216,3,CM,0.998734,YES
14,422,-413,3,CM,0.992798,YES
27,1016,-334,3,CH,0.976938,YES
28,60,-160,3,CM,0.981096,YES
35,1423,-552,3,CM,0.995717,YES
37,645,-252,3,CM,0.997093,YES
47,182,-215,3,CM,0.985786,YES
50,1726,-646,3,CM,0.987951,YES
56,1525,-504,3,CM,0.99422,YES
58,334,-445,3,CM,0.990431,YES
68,1369,-499,3,CM,0.996943,YES
82,1802,-815,3,CM,0.982997,YES
86,1225,-702,3,CM,0.996398,YES
87,675,-412,3,CM,0.997533,YES
93,883,44,3,CM,0.996769,YES
94,347,-512,3,CM,0.990395,YES
0,581,-1899,4,CM,0.989741,YES
2,440,-967,4,CM,0.998297,YES
5,19,-1843,4,CM,0.990677,YES
11,-62,-1822,4,CM,0.990069,YES
15,267,-1934,4,CM,0.990063,YES
23,312,-1218,4,CM,0.999974,YES
24,-20,-1519,4,CM,0.995993,YES
46,1192,-1537,4,CM,0.982981,YES
60,-342,-1449,4,CM,0.99022,YES
71,-238,-1733,4,CM,0.988688,YES
74,1049,-1359,4,CM,0.989087,YES
79,322,-1232,4,CH,0.967417,YES
91,257,-939,4,CM,0.998179,YES
