node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS;ROLE
21;0;-114.89769185365245;8.133208016266991;51.456;8;250;14;868300000;868300000;1480.2837565818252;1.2925162821975693;RECEIVED;CM
28;0;-101.12780025581148;21.90309961410796;185.344;9;125;14;867100000;867100000;1050.5474763188954;4.655630787617115;RECEIVED;CM
87;0;-88.03936255545014;34.9915373144693;56.57600000000001;7;125;14;867700000;867700000;1770.0838963167819;1.4211248674908599;RECEIVED;CM
42;0;-112.33222802328997;10.698671846629466;741.376;11;125;14;868300000;868300000;1808.9624097808114;18.62252315046846;RECEIVED;CM
62;0;-98.90393946518047;24.126960404738966;14.144000000000002;7;500;14;868500000;868500000;1384.2214418220808;0.35528121687271497;RECEIVED;CM
31;0;-113.61929231514115;9.411607554778286;92.672;10;500;14;868500000;868500000;1612.5771299382861;2.3278153938085575;RECEIVED;CM
99;0;-107.58068524810243;15.450214621817011;14.144000000000002;7;500;14;867700000;867700000;307.12212554617423;0.35528121687271497;RECEIVED;CM
38;0;-114.56280456725239;8.468095302667052;370.688;10;125;14;867900000;867900000;1942.4255455486575;9.31126157523423;RECEIVED;CM
28;0;-111.64905980998053;11.38184005993891;1318.912;12;125;14;867300000;867300000;1050.5474763188954;33.12957157155162;RECEIVED;CM
7;0;-109.73706940853779;13.293830461381646;28.288000000000004;7;250;14;867300000;867300000;1650.0003030302753;0.7105624337454299;RECEIVED;CM
31;0;-113.07604643658034;9.954853433339096;56.57600000000001;7;125;14;868300000;868300000;1612.5771299382861;1.4211248674908599;RECEIVED;CM
66;0;-109.383337823143;13.647562046776443;329.728;11;250;14;867500000;867500000;1891.5054850568106;8.282392892887906;RECEIVED;CM
77;0;-98.17598353923373;24.85491633068571;102.912;8;125;14;867900000;867900000;1589.3803824132222;2.5850325643951386;RECEIVED;CM
89;0;-104.95077968601468;18.080120183904754;185.344;9;125;14;867700000;867700000;1753.4337740559238;4.655630787617115;RECEIVED;CM
11;0;-95.7573248024014;27.27357506751804;1318.912;12;125;14;867700000;867700000;1623.037276220112;33.12957157155162;RECEIVED;CM
64;0;-105.31100967710817;17.719890192811263;14.144000000000002;7;500;14;868300000;868300000;1465.5200442163866;0.35528121687271497;RECEIVED;CM
74;0;-117.70517083410513;5.325729035814305;102.912;8;125;14;867500000;867500000;1796.5773014262425;2.5850325643951386;RECEIVED;CM
43;0;-115.32859965574065;7.702300214178791;659.456;12;250;14;867900000;867900000;1606.7787651073809;16.56478578577581;RECEIVED;CM
44;0;-104.19757572157775;18.83332414834169;46.336;9;500;14;867700000;867700000;1984.2714028075898;1.1639076969042788;RECEIVED;CM
77;0;-121.95837248585227;1.0725273840671719;51.456;8;250;14;867100000;867100000;1589.3803824132222;1.2925162821975693;RECEIVED;CM
49;0;-119.30543920630535;3.7254606636140863;329.728;11;250;14;868500000;868500000;951.9716382329885;8.282392892887906;RECEIVED;CM
72;0;-115.64470165450359;7.386198215415845;185.344;10;250;14;867500000;867500000;1454.3964383894784;4.655630787617115;RECEIVED;CM
40;0;-128.79590242782055;-5.765002557901113;1318.912;12;125;14;868100000;868100000;1636.3960400832068;33.12957157155162;RECEIVED;CH
5;0;-104.79750447260658;18.23339539731286;741.376;11;125;14;868100000;868100000;1646.7364695056706;18.62252315046846;RECEIVED;CM
60;0;-113.12861830166224;9.902281568257195;56.57600000000001;7;125;14;867300000;867300000;1883.677254733411;1.4211248674908599;RECEIVED;CM
51;0;-115.80774858148743;7.223151288432007;28.288000000000004;7;250;14;868100000;868100000;1851.1023742624286;0.7105624337454299;RECEIVED;CM
14;0;-104.90857753733667;18.12232233258277;14.144000000000002;7;500;14;867500000;867500000;789.6239611359321;0.35528121687271497;RECEIVED;CM
27;0;-113.94206669643158;9.088833173487856;92.672;10;500;14;867500000;867500000;175.93464695732902;2.3278153938085575;RECEIVED;CM
97;0;-95.68374308751989;27.34715678239955;185.344;9;125;14;867500000;867500000;975.2071574798864;4.655630787617115;RECEIVED;CM
23;0;-102.27978900866336;20.75111086125608;25.728;8;500;14;867300000;867300000;1519.9279588191014;0.6462581410987847;RECEIVED;CM
31;0;-121.10218882629366;1.928711043625782;185.344;9;125;14;867900000;867900000;1612.5771299382861;4.655630787617115;RECEIVED;CM
62;0;-101.72241084162295;21.308489028296492;102.912;8;125;14;867500000;867500000;1384.2214418220808;2.5850325643951386;RECEIVED;CM
41;0;-110.29011211398257;12.740787755936864;14.144000000000002;7;500;14;867900000;867900000;1096.0602173238476;0.35528121687271497;RECEIVED;CM
58;0;-109.15935878496765;13.871541084951787;46.336;9;500;14;868100000;868100000;1301.8022123195212;1.1639076969042788;RECEIVED;CM
33;0;-121.18346037978077;1.8474394901386688;92.672;9;250;14;867300000;867300000;375.5023302191346;2.3278153938085575;RECEIVED;CM
17;0;-97.58339455530107;25.44750531461837;185.344;9;125;14;867900000;867900000;924.8578269117908;4.655630787617115;RECEIVED;CM
79;0;-119.59384581089364;3.4370540590257974;1318.912;12;125;14;867300000;867300000;1850.3580734549732;33.12957157155162;RECEIVED;CM
37;0;-111.6708068351929;11.360093034726532;370.688;10;125;14;867100000;867100000;1023.2033033566692;9.31126157523423;RECEIVED;CM
32;0;-106.01272163535268;17.01817823456676;741.376;11;125;14;867100000;867100000;1707.0401284094057;18.62252315046846;RECEIVED;CM
43;0;-115.78946008856002;7.241439781359418;56.57600000000001;7;125;14;868300000;868300000;1606.7787651073809;1.4211248674908599;RECEIVED;CM
9;0;-112.8169017164436;10.213998153475842;185.344;10;250;14;868300000;868300000;1071.6254009680808;4.655630787617115;RECEIVED;CH
76;0;-105.79380113674782;17.23709873317162;25.728;8;500;14;868100000;868100000;1608.0796000198497;0.6462581410987847;RECEIVED;CM
12;0;-86.19932263359706;36.831577236322374;185.344;10;250;14;867900000;867900000;1164.4917346207314;4.655630787617115;RECEIVED;CM
95;0;-123.28624845033698;-0.2553485804175466;92.672;9;250;14;868300000;868300000;1440.6901124114097;2.3278153938085575;RECEIVED;CM
2;0;-112.40783167908373;10.62306819083571;92.672;10;500;14;867700000;867700000;1904.9797899190428;2.3278153938085575;RECEIVED;CM
97;0;-123.38121700009572;-0.3503171301762791;185.344;9;125;14;867700000;867700000;975.2071574798864;4.655630787617115;RECEIVED;CM
64;0;-106.8400325061773;16.190867363742143;14.144000000000002;7;500;14;868300000;868300000;1465.5200442163866;0.35528121687271497;RECEIVED;CM
47;0;-114.31991357418207;8.71098629573737;741.376;11;125;14;867100000;867100000;1237.3528195304684;18.62252315046846;RECEIVED;CM
73;0;-121.40583480739349;1.6250650625259482;102.912;8;125;14;867500000;867500000;1562.5187998869005;2.5850325643951386;RECEIVED;CM
75;0;-97.44330827375431;25.587591596165126;659.456;12;250;14;867100000;867100000;1157.1192678371578;16.56478578577581;RECEIVED;CM
53;0;-118.18814042241337;4.842759447506069;14.144000000000002;7;500;14;868500000;868500000;1977.5388744598677;0.35528121687271497;RECEIVED;CM
49;0;-107.8702266685741;15.160673201345332;741.376;11;125;14;867700000;867700000;951.9716382329885;18.62252315046846;RECEIVED;CM
7;0;-105.54968893729398;17.48121093262546;741.376;11;125;14;867300000;867300000;1650.0003030302753;18.62252315046846;RECEIVED;CM
0;0;-120.54283855821188;2.488061311707554;25.728;8;500;14;867500000;867500000;933.9619906612902;0.6462581410987847;RECEIVED;CM
83;0;-115.3326955724776;7.698204297441833;164.864;11;500;14;868500000;868500000;1439.3974433769154;4.141196446443953;RECEIVED;CM
42;0;-100.76025391262435;22.270645957295088;329.728;11;250;14;867700000;867700000;1808.9624097808114;8.282392892887906;RECEIVED;CM
25;0;-118.67786576161947;4.3530341082999655;92.672;10;500;14;868100000;868100000;284.05985284795173;2.3278153938085575;RECEIVED;CM
65;0;-123.2258894363573;-0.1949895664378687;659.456;12;250;14;867500000;867500000;1020.0725464397128;16.56478578577581;RECEIVED;CM
40;0;-122.07550633380765;0.9553935361117851;25.728;8;500;14;867900000;867900000;1636.3960400832068;0.6462581410987847;RECEIVED;CH
37;0;-110.26414309960268;12.76675677031676;164.864;11;500;14;868300000;868300000;1023.2033033566692;4.141196446443953;RECEIVED;CM
99;0;-108.76973020072386;14.261169669195581;329.728;11;250;14;868100000;868100000;307.12212554617423;8.282392892887906;RECEIVED;CM
12;0;-99.33260454040885;23.698295329510586;659.456;12;250;14;867500000;867500000;1164.4917346207314;16.56478578577581;RECEIVED;CM
69;0;-101.1566180295213;21.87428184039814;370.688;10;125;14;868300000;868300000;1854.4921137605304;9.31126157523423;RECEIVED;CM
64;0;-108.5257695850341;14.50513028488534;92.672;9;250;14;868100000;868100000;1465.5200442163866;2.3278153938085575;RECEIVED;CM
93;0;-112.15815360304674;10.872746266872696;329.728;11;250;14;868500000;868500000;1259.203319563604;8.282392892887906;RECEIVED;CM
40;0;-109.2312765530795;13.799623316839941;164.864;11;500;14;867500000;867500000;1636.3960400832068;4.141196446443953;RECEIVED;CH
57;0;-110.97064745241472;12.060252417504714;14.144000000000002;7;500;14;867500000;867500000;1871.1421645615278;0.35528121687271497;RECEIVED;CM
84;0;-97.83490320522556;25.19599666469388;51.456;8;250;14;867300000;867300000;1969.2501110828964;1.2925162821975693;RECEIVED;CM
14;0;-104.19240287065004;18.838496999269395;102.912;8;125;14;867100000;867100000;789.6239611359321;2.5850325643951386;RECEIVED;CM
20;0;-110.00480676225789;13.026093107661552;329.728;12;500;14;868500000;868500000;402.0572098594925;8.282392892887906;RECEIVED;CM
65;0;-108.14520749475766;14.885692375161781;185.344;10;250;14;867900000;867900000;1020.0725464397128;4.655630787617115;RECEIVED;CM
44;0;-99.67718569478214;23.3537141751373;102.912;8;125;14;867300000;867300000;1984.2714028075898;2.5850325643951386;RECEIVED;CM
75;0;-114.1647923019423;8.866107567977139;329.728;12;500;14;868300000;868300000;1157.1192678371578;8.282392892887906;RECEIVED;CM
21;0;-105.13991337071137;17.89098649920807;164.864;11;500;14;867500000;867500000;1480.2837565818252;4.141196446443953;RECEIVED;CM
93;0;-107.44548158755676;15.585418282362681;370.688;10;125;14;868500000;868500000;1259.203319563604;9.31126157523423;RECEIVED;CM
1;0;-107.66210807181454;15.368791798104894;659.456;12;250;14;868300000;868300000;1411.7241231912133;16.56478578577581;RECEIVED;CM
20;0;-111.88420561362939;11.146694256290047;28.288000000000004;7;250;14;868100000;868100000;402.0572098594925;0.7105624337454299;RECEIVED;CM
32;0;-108.27140555053988;14.759494319379556;25.728;8;500;14;867300000;867300000;1707.0401284094057;0.6462581410987847;RECEIVED;CM
14;0;-109.10389374657373;13.927006123345706;102.912;8;125;14;868500000;868500000;789.6239611359321;2.5850325643951386;RECEIVED;CM
43;0;-113.40913750306957;9.621762366849865;329.728;12;500;14;868500000;868500000;1606.7787651073809;8.282392892887906;RECEIVED;CM
21;0;-132.465576017621;-9.434676147701566;185.344;9;125;14;867100000;867100000;1480.2837565818252;4.655630787617115;LOST;CM
32;0;-107.66242305072038;15.36847681919906;370.688;10;125;14;867100000;867100000;1707.0401284094057;9.31126157523423;RECEIVED;CM
88;0;-110.66108412020779;12.369815749711648;92.672;10;500;14;867700000;867700000;395.2037449215278;2.3278153938085575;RECEIVED;CM
28;0;-113.50995538713504;9.520944482784401;92.672;9;250;14;867900000;867900000;1050.5474763188954;2.3278153938085575;RECEIVED;CM
97;0;-101.21816888812926;21.81273098179018;28.288000000000004;7;250;14;867100000;867100000;975.2071574798864;0.7105624337454299;RECEIVED;CM
56;0;-113.10609589706577;9.924803972853667;370.688;10;125;14;867900000;867900000;1388.5478025620869;9.31126157523423;RECEIVED;CM
22;0;-124.2871890625434;-1.2562891926239672;102.912;8;125;14;867500000;867500000;1574.1111777762078;2.5850325643951386;RECEIVED;CH
38;0;-130.1683897700303;-7.1374899001108645;164.864;11;500;14;868300000;868300000;1942.4255455486575;4.141196446443953;LOST;CM
57;0;-102.30895030230201;20.72194956761743;164.864;11;500;14;867900000;867900000;1871.1421645615278;4.141196446443953;RECEIVED;CM
20;0;-126.07552422901992;-3.0446243591004816;185.344;10;250;14;867500000;867500000;402.0572098594925;4.655630787617115;RECEIVED;CM
23;0;-109.76852883416515;13.262371035754285;370.688;10;125;14;867300000;867300000;1519.9279588191014;9.31126157523423;RECEIVED;CM
24;0;-111.57987299679651;11.451026873122927;185.344;10;250;14;868500000;868500000;377.01060993027767;4.655630787617115;RECEIVED;CM
45;0;-117.05755014075254;5.973349729166898;329.728;11;250;14;867500000;867500000;1611.3596743123492;8.282392892887906;RECEIVED;CM
60;0;-110.36001527257802;12.670884597341413;329.728;12;500;14;867500000;867500000;1883.677254733411;8.282392892887906;RECEIVED;CM
94;0;-120.55347888838895;2.4774209815304857;46.336;9;500;14;867700000;867700000;979.4896630388705;1.1639076969042788;RECEIVED;CM
19;0;-97.15486562315421;25.87603424676523;14.144000000000002;7;500;14;868500000;868500000;1100.7361173323968;0.35528121687271497;RECEIVED;CM
3;0;-105.6230431357046;17.407856734214832;92.672;9;250;14;867500000;867500000;1953.6657851331686;2.3278153938085575;RECEIVED;CM
54;0;-106.79718980787392;16.233710062045517;25.728;8;500;14;867100000;867100000;1707.402998708858;0.6462581410987847;RECEIVED;CM
20;0;-122.97458683573629;0.05631303418314815;741.376;11;125;14;868500000;868500000;402.0572098594925;18.62252315046846;RECEIVED;CM
13;0;-130.2024119041942;-7.17151203427477;185.344;9;125;14;868300000;868300000;1829.9027296553224;4.655630787617115;RECEIVED;CM
33;0;-121.47634062512986;1.5545592447895729;46.336;9;500;14;868500000;868500000;375.5023302191346;1.1639076969042788;RECEIVED;CM
64;0;-123.45873853898823;-0.427838669068791;46.336;9;500;14;867100000;867100000;1465.5200442163866;1.1639076969042788;RECEIVED;CM
78;0;-97.15554110409239;25.875358765827045;741.376;11;125;14;867500000;867500000;1999.6844751110111;18.62252315046846;RECEIVED;CM
82;0;-110.70664162308141;12.324258246838028;28.288000000000004;7;250;14;867300000;867300000;1997.9314302548023;0.7105624337454299;RECEIVED;CM
41;0;-105.33462464116259;17.696275228756846;102.912;8;125;14;868100000;868100000;1096.0602173238476;2.5850325643951386;RECEIVED;CM
32;0;-112.17729731375485;10.853602556164589;51.456;8;250;14;867700000;867700000;1707.0401284094057;1.2925162821975693;RECEIVED;CM
62;0;-108.38734611876998;14.643553751149454;741.376;11;125;14;867900000;867900000;1384.2214418220808;18.62252315046846;RECEIVED;CM
86;0;-110.62696191370547;12.403937956213966;92.672;9;250;14;867100000;867100000;1256.0525466715158;2.3278153938085575;RECEIVED;CM
50;0;-119.09378032019978;3.937119549719654;370.688;10;125;14;867300000;867300000;1746.9049773814259;9.31126157523423;RECEIVED;CM
6;0;-108.42401768932946;14.606882180589977;659.456;12;250;14;868500000;868500000;1809.0798766223675;16.56478578577581;RECEIVED;CM
9;0;-119.33597395034309;3.694925919576349;25.728;8;500;14;867100000;867100000;1071.6254009680808;0.6462581410987847;RECEIVED;CH
71;0;-114.71196169552505;8.31893817439439;92.672;10;500;14;868500000;868500000;1117.370574160605;2.3278153938085575;RECEIVED;CM
97;0;-99.83835146681614;23.192548403103302;25.728;8;500;14;867900000;867900000;975.2071574798864;0.6462581410987847;RECEIVED;CM
39;0;-105.86431685358046;17.166583016338976;51.456;8;250;14;867300000;867300000;1968.354642842595;1.2925162821975693;RECEIVED;CM
55;0;-116.39001142133685;6.6408884485825865;14.144000000000002;7;500;14;867300000;867300000;425.7616704213755;0.35528121687271497;RECEIVED;CM
16;0;-105.5260257051515;17.50487416476794;56.57600000000001;7;125;14;868100000;868100000;1130.5856889241081;1.4211248674908599;RECEIVED;CM
62;0;-98.79168811392745;24.239211755991988;185.344;10;250;14;868100000;868100000;1384.2214418220808;4.655630787617115;RECEIVED;CM
88;0;-116.67099432363668;6.359905546282761;14.144000000000002;7;500;14;868500000;868500000;395.2037449215278;0.35528121687271497;RECEIVED;CM
89;0;-102.08535795497416;20.94554191494528;185.344;10;250;14;868100000;868100000;1753.4337740559238;4.655630787617115;RECEIVED;CM
57;0;-92.65177027083415;30.37912959908529;659.456;12;250;14;868100000;868100000;1871.1421645615278;16.56478578577581;RECEIVED;CM
8;0;-118.44439621942968;4.58650365048976;741.376;11;125;14;868300000;868300000;1803.2639851114423;18.62252315046846;RECEIVED;CM
67;0;-118.6919156825966;4.338984187322836;185.344;9;125;14;867100000;867100000;1935.1950806055704;4.655630787617115;RECEIVED;CM
51;0;-109.61952286090073;13.411377009018707;329.728;11;250;14;867900000;867900000;1851.1023742624286;8.282392892887906;RECEIVED;CM
35;0;-111.28387895173506;11.747020918184376;92.672;9;250;14;867700000;867700000;1610.9705149381227;2.3278153938085575;RECEIVED;CM
35;0;-125.85375117535571;-2.8228513054362736;51.456;8;250;14;867300000;867300000;1610.9705149381227;1.2925162821975693;RECEIVED;CM
7;0;-107.33690828891416;15.693991581005278;46.336;9;500;14;867900000;867900000;1650.0003030302753;1.1639076969042788;RECEIVED;CM
74;0;-111.33751768005797;11.693382189861467;46.336;9;500;14;867900000;867900000;1796.5773014262425;1.1639076969042788;RECEIVED;CM
15;0;-107.42709282514615;15.60380704477329;56.57600000000001;7;125;14;867700000;867700000;1473.6899266806433;1.4211248674908599;RECEIVED;CM
40;0;-109.30966240995224;13.721237459967199;28.288000000000004;7;250;14;867700000;867700000;1636.3960400832068;0.7105624337454299;RECEIVED;CH
42;0;-112.90734162661796;10.123558243301474;51.456;8;250;14;868300000;868300000;1808.9624097808114;1.2925162821975693;RECEIVED;CM
70;0;-105.7502975202187;17.280602349700743;46.336;9;500;14;867300000;867300000;627.4591620177364;1.1639076969042788;RECEIVED;CM
24;0;-124.2136686286008;-1.1827687586813624;51.456;8;250;14;868100000;868100000;377.01060993027767;1.2925162821975693;RECEIVED;CM
16;0;-105.01091796147425;18.01998190844519;102.912;8;125;14;868300000;868300000;1130.5856889241081;2.5850325643951386;RECEIVED;CM
81;0;-108.92174059937024;14.109159270549199;46.336;9;500;14;867100000;867100000;1576.375906946056;1.1639076969042788;RECEIVED;CM
75;0;-110.24419998513267;12.78669988478677;185.344;10;250;14;867900000;867900000;1157.1192678371578;4.655630787617115;RECEIVED;CM
71;0;-109.06592156043776;13.96497830948168;185.344;10;250;14;867500000;867500000;1117.370574160605;4.655630787617115;RECEIVED;CM
27;0;-137.98135758998183;-14.950457720062388;25.728;8;500;14;867100000;867100000;175.93464695732902;0.6462581410987847;LOST;CM
22;0;-128.89028359009217;-5.85938372017273;370.688;10;125;14;867300000;867300000;1574.1111777762078;9.31126157523423;RECEIVED;CH
43;0;-110.75248297159293;12.278416898326512;659.456;12;250;14;867500000;867500000;1606.7787651073809;16.56478578577581;RECEIVED;CM
18;0;-105.59402470915055;17.436875160768892;46.336;9;500;14;868100000;868100000;1274.3876961113522;1.1639076969042788;RECEIVED;CM
49;0;-111.19790688824509;11.832992981674352;14.144000000000002;7;500;14;867700000;867700000;951.9716382329885;0.35528121687271497;RECEIVED;CM
99;0;-113.40228403593234;9.628615833987098;102.912;8;125;14;867300000;867300000;307.12212554617423;2.5850325643951386;RECEIVED;CM
77;0;-108.23188009058984;14.799019779329598;1318.912;12;125;14;868300000;868300000;1589.3803824132222;33.12957157155162;RECEIVED;CM
12;0;-90.01647887482483;33.01442099509461;1318.912;12;125;14;867500000;867500000;1164.4917346207314;33.12957157155162;RECEIVED;CM
58;0;-119.41369635781683;3.6172035121026056;164.864;11;500;14;867300000;867300000;1301.8022123195212;4.141196446443953;RECEIVED;CM
39;0;-112.04681375029415;10.984086119625289;370.688;10;125;14;867300000;867300000;1968.354642842595;9.31126157523423;RECEIVED;CM
