node_id,x,y,cluster_id,role,residual_energy_J,alive
2,-1892,222,0,CM,0.983889,YES
3,-1593,-1131,0,CM,0.99416,YES
4,-613,-853,0,CM,0.982061,YES
15,-1471,89,0,CM,0.990539,YES
30,-1531,-1220,0,CM,0.992192,YES
35,-1015,-1251,0,CM,0.986218,YES
40,-1524,-596,0,CH,0.946192,YES
43,-1597,177,0,CM,0.987923,YES
44,-1897,-582,0,CM,0.997193,YES
45,-1608,104,0,CM,0.990039,YES
47,-1021,-699,0,CM,0.994708,YES
52,-1751,-255,0,CM,0.996624,YES
73,-764,-1363,0,CM,0.976662,YES
82,-1561,-1247,0,CM,0.991477,YES
83,-947,-1084,0,CM,0.988559,YES
84,-1855,-661,0,CM,0.997704,YES
87,-954,-1491,0,CM,0.977461,YES
90,-791,162,0,CM,0.977743,YES
91,-1626,-927,0,CM,0.997581,YES
93,-627,-1092,0,CM,0.978967,YES
94,-978,54,0,CM,0.985568,YES
95,-1432,158,0,CM,0.98844,YES
6,-17,-1809,1,CM,0.981067,YES
8,-256,-1785,1,CM,0.976106,YES
9,466,-965,1,CH,0.976736,YES
11,367,-1581,1,CM,0.992195,YES
12,560,-1021,1,CM,0.999741,YES
13,1600,-888,1,CM,0.974142,YES
14,655,-441,1,CM,0.993774,YES
18,992,-800,1,CM,0.993902,YES
19,938,-576,1,CM,0.992498,YES
20,341,-213,1,CM,0.988357,YES
25,257,-121,1,CM,0.98486,YES
27,-172,-37,1,CM,0.974615,YES
32,755,-1531,1,CM,0.991902,YES
33,-181,-329,1,CM,0.983518,YES
36,149,-36,1,CM,0.980709,YES
48,1117,-498,1,CM,0.987142,YES
50,166,-1739,1,CM,0.986198,YES
55,-232,-357,1,CM,0.982843,YES
56,864,-1087,1,CM,0.996514,YES
58,1040,-783,1,CM,0.992728,YES
61,363,-648,1,CM,0.997758,YES
72,-113,-1450,1,CM,0.988571,YES
80,552,-1123,1,CM,0.999333,YES
86,1168,-462,1,CM,0.985064,YES
88,381,-105,1,CM,0.985043,YES
98,252,-812,1,CM,0.998596,YES
0,922,149,2,CM,0.9926,YES
16,932,640,2,CM,0.996471,YES
29,1450,1269,2,CM,0.990356,YES
46,1783,522,2,CM,0.996104,YES
51,1844,-162,2,CM,0.983939,YES
53,1742,936,2,CM,0.994367,YES
54,1696,197,2,CM,0.994564,YES
59,1347,583,2,CH,0.956695,YES
60,1852,-344,2,CM,0.977693,YES
65,888,502,2,CM,0.995635,YES
68,1197,402,2,CM,0.998875,YES
69,1746,625,2,CM,0.996761,YES
71,1106,159,2,CM,0.995223,YES
76,1296,952,2,CM,0.997205,YES
77,1581,163,2,CM,0.995357,YES
79,1377,1236,2,CM,0.991434,YES
89,1509,893,2,CM,0.997533,YES
92,1514,110,2,CM,0.994948,YES
96,1799,494,2,CM,0.995735,YES
1,127,1406,3,CM,0.995423,YES
7,495,1574,3,CM,0.990681,YES
10,239,942,3,CH,0.980913,YES
17,-311,871,3,CM,0.993829,YES
21,438,1414,3,CM,0.994732,YES
24,-171,336,3,CM,0.989273,YES
26,45,1056,3,CM,0.998967,YES
31,-134,1607,3,CM,0.988353,YES
37,-343,964,3,CM,0.993196,YES
38,444,1891,3,CM,0.981127,YES
63,298,155,3,CM,0.987523,YES
64,410,1407,3,CM,0.995071,YES
70,357,516,3,CM,0.996072,YES
74,857,1579,3,CM,0.984226,YES
85,347,638,3,CM,0.997898,YES
97,727,650,3,CM,0.993512,YES
99,150,268,3,CM,0.990736,YES
5,-1330,971,4,CM,0.998457,YES
22,-1101,1125,4,CH,0.950257,YES
23,-570,1409,4,CM,0.992728,YES
28,-805,675,4,CM,0.994178,YES
34,-269,1894,4,CM,0.974308,YES
39,-924,1738,4,CM,0.991838,YES
41,-768,782,4,CM,0.995409,YES
42,-1592,859,4,CM,0.993743,YES
49,-825,475,4,CM,0.990006,YES
57,-1417,1222,4,CM,0.997795,YES
62,-562,1265,4,CM,0.993778,YES
66,-1448,1217,4,CM,0.997403,YES
67,-964,1678,4,CM,0.993488,YES
75,-882,749,4,CM,0.996193,YES
78,-1337,1487,4,CM,0.996245,YES
81,-540,1481,4,CM,0.991151,YES
