cluster_id,sent,received,lost,collided,PDR,energy_J,bits_per_joule
0,237,235,2,0,0.9916,1.399298,26870.6092
1,329,318,9,2,0.9666,1.91153,26617.4174
2,196,188,7,1,0.9592,1.495637,20111.8257
3,213,210,3,0,0.9859,1.274743,26358.2629
4,222,220,2,0,0.991,1.527296,23047.2667
