node_id,x,y,cluster_id,role,residual_energy_J,alive
3,-202,-120,0,CM,0.977992,YES
4,-287,-1710,0,CM,0.981453,YES
11,291,-1893,0,CM,0.983993,YES
13,1100,-970,0,CM,0.989155,YES
18,-36,-1697,0,CM,0.987103,YES
24,147,-623,0,CM,0.996157,YES
26,-175,-1450,0,CM,0.990134,YES
29,-80,-192,0,CM,0.982897,YES
30,-587,-1188,0,CM,0.981162,YES
34,208,-917,0,CM,0.999343,YES
44,1353,-1104,0,CM,0.980249,YES
45,365,-1002,0,CH,0.976981,YES
46,-136,-579,0,CM,0.991381,YES
50,108,-339,0,CM,0.989868,YES
64,374,-1737,0,CM,0.989174,YES
70,-441,-1720,0,CM,0.976677,YES
72,-97,-131,0,CM,0.980538,YES
75,499,-701,0,CM,0.997809,YES
78,1668,-1067,0,CM,0.965939,YES
79,971,-617,0,CM,0.989671,YES
82,248,-854,0,CM,0.999268,YES
84,66,-1520,0,CM,0.992826,YES
85,1735,-948,0,CM,0.962384,YES
96,363,-1454,0,CM,0.995894,YES
0,-1138,-269,1,CM,0.999438,YES
2,-967,-295,1,CM,0.99853,YES
16,-601,-636,1,CM,0.991718,YES
17,-1020,-174,1,CM,0.998088,YES
21,-1436,-882,1,CM,0.994635,YES
27,-1092,-405,1,CM,0.999716,YES
36,-1467,-71,1,CM,0.996196,YES
37,-954,65,1,CM,0.994025,YES
41,-1325,-807,1,CM,0.996686,YES
42,-1505,-1206,1,CM,0.985805,YES
55,-1655,-298,1,CM,0.995655,YES
56,-1383,-849,1,CM,0.995655,YES
59,-1133,-266,1,CM,0.999405,YES
63,-1942,-230,1,CM,0.988432,YES
66,-1054,-23,1,CM,0.996382,YES
76,-740,-308,1,CM,0.99539,YES
86,-1617,-1157,1,CM,0.985709,YES
91,-971,-695,1,CM,0.997352,YES
92,-1475,-879,1,CM,0.994301,YES
94,-1314,-180,1,CM,0.998604,YES
98,-1206,-419,1,CH,0.967159,YES
8,-451,1935,2,CM,0.985628,YES
9,-320,1941,2,CM,0.989194,YES
14,10,1683,2,CM,0.997887,YES
23,-391,1813,2,CM,0.988885,YES
25,415,1664,2,CM,0.99958,YES
28,498,1003,2,CM,0.992926,YES
32,312,1567,2,CH,0.948801,YES
33,105,1451,2,CM,0.998854,YES
43,404,1593,2,CM,0.999797,YES
48,965,1533,2,CM,0.991429,YES
53,869,1705,2,CM,0.993394,YES
71,-34,1098,2,CM,0.993186,YES
1,1873,-76,3,CM,0.98073,YES
5,1107,537,3,CH,0.969461,YES
6,1928,343,3,CM,0.985746,YES
7,1506,-47,3,CM,0.989975,YES
15,441,445,3,CM,0.99094,YES
38,1183,893,3,CM,0.99733,YES
39,1258,499,3,CM,0.999495,YES
40,1466,661,3,CM,0.997095,YES
51,1165,1043,3,CM,0.994792,YES
54,929,527,3,CM,0.999344,YES
57,1062,564,3,CM,0.999925,YES
58,970,914,3,CM,0.996762,YES
60,989,157,3,CM,0.996814,YES
62,457,471,3,CM,0.991443,YES
69,1162,1177,3,CM,0.991727,YES
73,1721,350,3,CM,0.991741,YES
74,855,631,3,CM,0.998533,YES
77,1288,1364,3,CM,0.985646,YES
80,1503,453,3,CM,0.996703,YES
81,792,47,3,CM,0.993193,YES
87,1456,776,3,CM,0.996402,YES
89,1013,754,3,CM,0.998861,YES
93,1085,-389,3,CM,0.982821,YES
10,-1550,806,4,CM,0.994984,YES
12,-1432,506,4,CM,0.993084,YES
19,-1322,1070,4,CM,0.998632,YES
20,-816,965,4,CM,0.998584,YES
22,-761,1707,4,CM,0.987258,YES
31,-1276,332,4,CM,0.990917,YES
35,-709,1638,4,CM,0.988462,YES
47,-1443,1354,4,CM,0.994487,YES
49,-1195,1302,4,CM,0.99759,YES
52,-1417,739,4,CM,0.996585,YES
61,-766,257,4,CM,0.987669,YES
65,-339,182,4,CM,0.97639,YES
67,-670,1365,4,CM,0.993592,YES
68,-484,1257,4,CM,0.991296,YES
83,-298,939,4,CM,0.987722,YES
88,-680,1350,4,CM,0.993982,YES
90,-954,668,4,CM,0.997765,YES
95,-246,465,4,CM,0.980846,YES
97,-1080,976,4,CH,0.95739,YES
99,-1830,616,4,CM,0.986138,YES
