cluster_id,sent,received,lost,collided,PDR,energy_J,bits_per_joule,avg_tx_ms,avg_sleep_ms,duty_cycle_avg
0,301,271,30,0,0.9003,0.209376,207091.168,347.31,3118021.82,0.000111
1,270,257,13,0,0.9519,0.152002,270521.8896,288.16,3293663.63,8.7e-05
2,162,149,13,0,0.9198,0.119519,199465.9041,396.51,3434005.3,0.000115
3,302,277,25,0,0.9172,0.200617,220918.9817,347.25,3286232.97,0.000106
4,226,208,18,0,0.9204,0.142519,233512.3782,283.69,3350283.13,8.5e-05
