timestamp,node_id,bs_idx,sf,bw,freq,rssi,snr,toa,energy_j,status,role
2238.24,15,0,7,500,868100000,-107.46,15.57,14.14,0.000355,RECEIVED,CM
5781.77,72,0,7,500,868500000,-111.39,11.64,14.14,0.000355,RECEIVED,CM
7642.78,84,0,7,500,867700000,-115.25,7.78,14.14,0.000355,RECEIVED,CM
8564.27,37,0,7,500,867900000,-111.85,11.18,14.14,0.000355,RECEIVED,CM
10512.16,24,0,7,500,867300000,-104.62,18.41,14.14,0.000355,RECEIVED,CM
13477.04,84,0,7,500,867500000,-102.47,20.56,14.14,0.000355,RECEIVED,CM
13615.04,51,0,7,500,868100000,-114.44,8.59,14.14,0.000355,RECEIVED,CM
14398.24,99,0,7,500,868100000,-106.45,16.58,14.14,0.000355,RECEIVED,CM
16792.17,1,0,7,500,867300000,-89.67,33.36,14.14,0.000355,RECEIVED,CM
28248.22,67,0,7,500,868300000,-122.97,0.06,14.14,0.000355,LOST,CM
30540.3,58,0,7,500,867100000,-107.62,15.41,14.14,0.000355,RECEIVED,CM
32963.29,48,0,7,500,867300000,-110.86,12.17,14.14,0.000355,RECEIVED,CM
36246.03,23,0,7,500,868300000,-117.37,5.66,14.14,0.000355,RECEIVED,CM
40248.55,89,0,7,500,868100000,-118.07,4.96,14.14,0.000355,RECEIVED,CM
41019.09,60,0,7,500,867100000,-119.38,3.65,14.14,0.000355,RECEIVED,CM
49554.56,17,0,7,500,867700000,-102.63,20.4,14.14,0.000355,RECEIVED,CM
49617.78,1,0,7,500,867900000,-92.72,30.31,14.14,0.000355,RECEIVED,CM
52645.47,54,0,7,500,868500000,-107.63,15.41,14.14,0.000355,RECEIVED,CM
54845.63,17,0,7,500,867900000,-84.95,38.08,14.14,0.000355,RECEIVED,CM
57610.09,72,0,7,500,868300000,-101.56,21.47,14.14,0.000355,RECEIVED,CM
57753.79,0,0,7,500,868300000,-121.24,1.79,14.14,0.000355,LOST,CM
61283.49,68,0,7,500,867300000,-129.04,-6.01,14.14,0.000355,LOST,CM
63778.79,11,0,7,500,868100000,-99.95,23.09,14.14,0.000355,RECEIVED,CM
