node_id,x,y,cluster_id,role,residual_energy_J,alive
2,1823,-106,0,CM,0.996913,YES
9,1768,-272,0,CM,0.996754,YES
16,1881,-421,0,CM,0.993207,YES
18,1436,-46,0,CH,0.958574,YES
41,1407,248,0,CM,0.998234,YES
43,1470,523,0,CM,0.993482,YES
49,1782,-399,0,CM,0.995093,YES
70,1643,503,0,CM,0.993095,YES
78,1224,-112,0,CM,0.998994,YES
79,1357,325,0,CM,0.997102,YES
96,1649,602,0,CM,0.990675,YES
97,1523,480,0,CM,0.994295,YES
0,-349,-1344,1,CM,0.985395,YES
7,-1060,-871,1,CH,0.96207,YES
13,-1052,-285,1,CM,0.993111,YES
22,104,-1312,1,CM,0.968992,YES
30,-1130,-1430,1,CM,0.993632,YES
35,-1021,-231,1,CM,0.991758,YES
37,-1066,-1237,1,CM,0.9973,YES
45,-260,-1622,1,CM,0.9759,YES
48,-568,-1466,1,CM,0.988058,YES
55,-1052,-1583,1,CM,0.98984,YES
57,-715,-608,1,CM,0.996216,YES
58,-1790,-301,1,CM,0.982824,YES
62,-1015,-574,1,CM,0.998175,YES
65,-1265,-479,1,CM,0.996066,YES
67,-41,-1356,1,CM,0.974508,YES
69,-200,-294,1,CM,0.978529,YES
71,-1781,-673,1,CM,0.988799,YES
72,-531,-1034,1,CM,0.993852,YES
73,-1136,-1017,1,CM,0.999438,YES
74,-865,-235,1,CM,0.99113,YES
77,-110,-1120,1,CM,0.98069,YES
87,-581,-1229,1,CM,0.992828,YES
88,-621,-1895,1,CM,0.975154,YES
90,-1282,-687,1,CM,0.998317,YES
91,-1108,-749,1,CM,0.999636,YES
4,-550,1044,2,CM,0.991096,YES
11,-1534,477,2,CM,0.994255,YES
15,-1013,1186,2,CM,0.992066,YES
25,-1410,1333,2,CM,0.984656,YES
26,-387,343,2,CM,0.991426,YES
29,-1708,468,2,CM,0.989937,YES
31,-1449,942,2,CM,0.993073,YES
33,-1005,557,2,CH,0.973343,YES
34,-793,1709,2,CM,0.972539,YES
39,-560,765,2,CM,0.995154,YES
42,-400,196,2,CM,0.990053,YES
46,-1841,3,2,CM,0.979864,YES
47,-1052,1048,2,CM,0.995114,YES
52,-1712,463,2,CM,0.989806,YES
56,-305,551,2,CM,0.990179,YES
59,-604,339,2,CM,0.995814,YES
61,-698,1300,2,CM,0.987054,YES
64,-796,1077,2,CM,0.993698,YES
68,-1678,974,2,CM,0.987444,YES
85,-607,821,2,CM,0.995418,YES
92,-617,836,2,CM,0.995412,YES
94,-841,32,2,CM,0.99393,YES
5,1006,-1030,3,CM,0.995533,YES
6,1368,-595,3,CM,0.996756,YES
8,1360,-429,3,CM,0.996564,YES
12,570,-274,3,CM,0.995176,YES
14,1592,-1013,3,CM,0.988088,YES
17,1005,-922,3,CM,0.997332,YES
23,816,82,3,CM,0.991275,YES
24,1710,-919,3,CM,0.986391,YES
27,1162,-463,3,CM,0.999039,YES
28,419,-1260,3,CM,0.984152,YES
32,160,-289,3,CM,0.985454,YES
50,968,-560,3,CH,0.974747,YES
53,539,-114,3,CM,0.992321,YES
60,1251,-1390,3,CM,0.9846,YES
63,809,-198,3,CM,0.996853,YES
80,867,-415,3,CM,0.999355,YES
82,876,-242,3,CM,0.997788,YES
83,358,-216,3,CM,0.990171,YES
95,1161,-984,3,CM,0.99564,YES
98,155,82,3,CM,0.978517,YES
99,162,-1078,3,CM,0.981621,YES
1,584,1219,4,CM,0.999816,YES
3,-123,778,4,CM,0.988836,YES
10,1003,1346,4,CM,0.994619,YES
19,-92,1599,4,CM,0.988419,YES
20,-71,886,4,CM,0.991508,YES
21,80,785,4,CM,0.993361,YES
36,290,1616,4,CM,0.994588,YES
38,330,247,4,CM,0.982855,YES
40,289,860,4,CM,0.99718,YES
44,137,1902,4,CM,0.98575,YES
51,1202,917,4,CM,0.989655,YES
54,191,494,4,CM,0.989116,YES
66,301,1369,4,CM,0.998053,YES
75,-95,1783,4,CM,0.984378,YES
76,258,1732,4,CM,0.991847,YES
81,523,1152,4,CH,0.967757,YES
84,980,1355,4,CM,0.994979,YES
86,687,505,4,CM,0.99107,YES
89,-179,1941,4,CM,0.977673,YES
93,794,426,4,CM,0.98797,YES
