node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS;ROLE
45;0;-88.57192186592815;34.45897800399129;659.456;12;250;14;867100000;867100000;786.6492229704419;16.56478578577581;RECEIVED;CM
87;0;-112.90034980141058;10.130550068508853;14.144000000000002;7;500;14;867300000;867300000;1549.02840516241;0.35528121687271497;RECEIVED;CM
88;0;-99.68124297318894;23.349656896730494;51.456;8;250;14;867500000;867500000;1226.5700143081926;1.2925162821975693;RECEIVED;CM
16;0;-89.8294913337242;33.20140853619523;56.57600000000001;7;125;14;867300000;867300000;1758.9442856440905;1.4211248674908599;RECEIVED;CM
41;0;-104.53150125351338;18.499398616406054;92.672;10;500;14;867100000;867100000;100.12991560967181;2.3278153938085575;RECEIVED;CM
48;0;-112.87279101802717;10.158108851892266;56.57600000000001;7;125;14;868300000;868300000;1390.2046611920132;1.4211248674908599;RECEIVED;CM
78;0;-110.65892329707772;12.371976572841717;51.456;8;250;14;867900000;867900000;1872.8152605102298;1.2925162821975693;RECEIVED;CM
32;0;-125.30714010349834;-2.2762402335789034;46.336;9;500;14;867700000;867700000;1932.863678586775;1.1639076969042788;RECEIVED;CM
30;0;-94.73463832147637;28.29626154844307;56.57600000000001;7;125;14;868300000;868300000;820.2072908722527;1.4211248674908599;RECEIVED;CM
86;0;-122.04489023447022;0.9860096354492214;92.672;9;250;14;868100000;868100000;1595.6265227176439;2.3278153938085575;RECEIVED;CM
95;0;-111.5544872336996;11.476412636219834;164.864;11;500;14;867900000;867900000;1172.8687053545252;4.141196446443953;RECEIVED;CM
78;0;-108.99605756380635;14.034842306113092;1318.912;12;125;14;867100000;867100000;1872.8152605102298;33.12957157155162;RECEIVED;CM
2;0;-108.98544184935717;14.045458020562265;92.672;10;500;14;867900000;867900000;458.11898017873045;2.3278153938085575;RECEIVED;CM
87;0;-106.47751691741686;16.553382952502574;92.672;10;500;14;867100000;867100000;1549.02840516241;2.3278153938085575;RECEIVED;CM
79;0;-109.19593440597605;13.83496546394339;1318.912;12;125;14;867500000;867500000;1549.7728865869346;33.12957157155162;RECEIVED;CM
22;0;-113.63085392392242;9.400045945997022;92.672;10;500;14;868500000;868500000;535.372767331324;2.3278153938085575;RECEIVED;CM
24;0;-121.57531593813846;1.4555839317809784;185.344;9;125;14;868100000;868100000;1598.311609167624;4.655630787617115;RECEIVED;CM
28;0;-100.22172628376417;22.809173586155268;370.688;10;125;14;867700000;867700000;168.24089871371942;9.31126157523423;RECEIVED;CM
21;0;-112.20242398509153;10.82847588482791;92.672;9;250;14;867900000;867900000;1936.640906311751;2.3278153938085575;RECEIVED;CM
74;0;-119.36591530545047;3.6649845644689663;370.688;10;125;14;867500000;867500000;1327.5258942860587;9.31126157523423;RECEIVED;CM
33;0;-124.83929130952623;-1.808391439606794;185.344;10;250;14;867900000;867900000;1991.5200224953803;4.655630787617115;RECEIVED;CM
92;0;-103.39124670405208;19.639653165867358;56.57600000000001;7;125;14;867100000;867100000;427.6037885706814;1.4211248674908599;RECEIVED;CM
37;0;-100.97699558026119;22.05390428965825;164.864;11;500;14;867500000;867500000;1675.0791026097843;4.141196446443953;RECEIVED;CM
87;0;-102.04997635254011;20.980923517379324;51.456;8;250;14;867900000;867900000;1549.02840516241;1.2925162821975693;RECEIVED;CM
20;0;-106.84504085090472;16.185859019014714;185.344;10;250;14;867700000;867700000;477.24731534079893;4.655630787617115;RECEIVED;CM
42;0;-111.95062629815698;11.080273571762461;102.912;8;125;14;868100000;868100000;1153.795909162448;2.5850325643951386;RECEIVED;CM
31;0;-109.15676819981245;13.87413167010699;164.864;11;500;14;867700000;867700000;1898.811470367714;4.141196446443953;RECEIVED;CM
73;0;-95.89220882808402;27.138691041835415;14.144000000000002;7;500;14;868300000;868300000;1491.762045367826;0.35528121687271497;RECEIVED;CM
68;0;-115.77214049393578;7.258759375983658;102.912;8;125;14;868500000;868500000;1862.6660999760531;2.5850325643951386;RECEIVED;CM
41;0;-118.56993345246096;4.460966417458479;56.57600000000001;7;125;14;868500000;868500000;100.12991560967181;1.4211248674908599;RECEIVED;CM
43;0;-105.89175542360574;17.139144446313693;102.912;8;125;14;867500000;867500000;1043.1270296565035;2.5850325643951386;RECEIVED;CM
78;0;-116.2092990008477;6.8216008690717445;28.288000000000004;7;250;14;868100000;868100000;1872.8152605102298;0.7105624337454299;RECEIVED;CM
92;0;-113.64066587907969;9.390233990839747;28.288000000000004;7;250;14;867900000;867900000;427.6037885706814;0.7105624337454299;RECEIVED;CM
45;0;-86.52660111424936;36.50429875567008;92.672;10;500;14;867100000;867100000;786.6492229704419;2.3278153938085575;RECEIVED;CM
0;0;-102.05682790644215;20.974071963477286;329.728;12;500;14;868100000;868100000;228.7575135378071;8.282392892887906;RECEIVED;CM
56;0;-96.01660567918478;27.01429419073466;46.336;9;500;14;867900000;867900000;1963.2921331274163;1.1639076969042788;RECEIVED;CM
84;0;-116.49605112634345;6.534848743575992;1318.912;12;125;14;867300000;867300000;1735.0331408938562;33.12957157155162;RECEIVED;CM
57;0;-123.29248026798277;-0.2615803980633302;92.672;10;500;14;868500000;868500000;1361.2556703279513;2.3278153938085575;RECEIVED;CM
63;0;-119.79689643547826;3.2340034344411777;92.672;10;500;14;868100000;868100000;738.8748202503588;2.3278153938085575;RECEIVED;CM
67;0;-111.2366104672968;11.794289402622638;56.57600000000001;7;125;14;867300000;867300000;1949.39169999259;1.4211248674908599;RECEIVED;CM
59;0;-107.47492947135245;15.555970398566984;92.672;9;250;14;867100000;867100000;1305.9575031370662;2.3278153938085575;RECEIVED;CM
50;0;-101.26942857178497;21.761471298134467;164.864;11;500;14;867700000;867700000;1550.3512505235708;4.141196446443953;RECEIVED;CM
35;0;-110.54067714571417;12.490222724205267;28.288000000000004;7;250;14;868500000;868500000;1050.6807317163477;0.7105624337454299;RECEIVED;CM
37;0;-107.28693641962298;15.743963450296462;1318.912;12;125;14;867700000;867700000;1675.0791026097843;33.12957157155162;RECEIVED;CM
91;0;-108.13838601676574;14.892513853153702;46.336;9;500;14;867700000;867700000;737.787232201805;1.1639076969042788;RECEIVED;CM
11;0;-118.43074294165848;4.600156928260958;56.57600000000001;7;125;14;868300000;868300000;1005.3024420541312;1.4211248674908599;RECEIVED;CM
18;0;-121.8839685245118;1.146931345407637;14.144000000000002;7;500;14;867100000;867100000;1303.7656998095938;0.35528121687271497;LOST;CM
94;0;-100.85214293061716;22.178756939302275;56.57600000000001;7;125;14;867500000;867500000;604.6064835907733;1.4211248674908599;RECEIVED;CM
36;0;-120.6076515417738;2.4232483281456325;185.344;10;250;14;868100000;868100000;1250.5234903831274;4.655630787617115;RECEIVED;CH
70;0;-90.36691224346421;32.663987626455224;185.344;10;250;14;867100000;867100000;914.0268048585884;4.655630787617115;RECEIVED;CM
35;0;-109.2399622801126;13.790937589806845;92.672;10;500;14;867700000;867700000;1050.6807317163477;2.3278153938085575;RECEIVED;CM
66;0;-116.06426242875688;6.966637441162561;46.336;9;500;14;868300000;868300000;1443.2477264835723;1.1639076969042788;RECEIVED;CM
48;0;-109.40367064531615;13.627229224603283;370.688;10;125;14;867300000;867300000;1390.2046611920132;9.31126157523423;RECEIVED;CM
61;0;-106.05510578263882;16.97579408728062;28.288000000000004;7;250;14;867700000;867700000;1721.6207480162407;0.7105624337454299;RECEIVED;CM
63;0;-116.53584042672986;6.495059443189575;164.864;11;500;14;868100000;868100000;738.8748202503588;4.141196446443953;RECEIVED;CM
26;0;-111.11126614473042;11.919633725189016;25.728;8;500;14;867300000;867300000;1266.861476247502;0.6462581410987847;RECEIVED;CM
62;0;-114.98925955520102;8.041640314718421;25.728;8;500;14;867900000;867900000;1922.9583978859241;0.6462581410987847;RECEIVED;CM
56;0;-114.95286636974015;8.078033500179288;28.288000000000004;7;250;14;868100000;868100000;1963.2921331274163;0.7105624337454299;RECEIVED;CM
38;0;-120.49261349039014;2.5382863795292963;659.456;12;250;14;867100000;867100000;1912.774424755831;16.56478578577581;RECEIVED;CM
45;0;-88.95877125497466;34.07212861494477;92.672;9;250;14;868500000;868500000;786.6492229704419;2.3278153938085575;RECEIVED;CM
84;0;-127.80321943899682;-4.772319569077382;659.456;12;250;14;867700000;867700000;1735.0331408938562;16.56478578577581;RECEIVED;CM
6;0;-121.15203838980989;1.8788614801095491;741.376;11;125;14;868100000;868100000;1961.315884807952;18.62252315046846;RECEIVED;CM
16;0;-85.06378718601621;37.967112683903224;659.456;12;250;14;867500000;867500000;1758.9442856440905;16.56478578577581;RECEIVED;CM
62;0;-117.12885712991837;5.902042740001065;92.672;10;500;14;867300000;867300000;1922.9583978859241;2.3278153938085575;RECEIVED;CM
60;0;-111.5684838022294;11.462416067690043;92.672;9;250;14;868500000;868500000;1358.3313292418754;2.3278153938085575;RECEIVED;CM
23;0;-94.4145016595402;28.61639821037923;25.728;8;500;14;867300000;867300000;1296.1735994842666;0.6462581410987847;RECEIVED;CM
7;0;-104.04807906002777;18.982820809891663;370.688;10;125;14;867700000;867700000;1989.2573991316458;9.31126157523423;RECEIVED;CM
42;0;-105.07519046951194;17.9557094004075;46.336;9;500;14;867300000;867300000;1153.795909162448;1.1639076969042788;RECEIVED;CM
3;0;-106.65030918381478;16.380590686104654;56.57600000000001;7;125;14;867500000;867500000;1024.562833602703;1.4211248674908599;RECEIVED;CM
69;0;-115.92087849050401;7.1100213794154286;56.57600000000001;7;125;14;867300000;867300000;1699.639079334198;1.4211248674908599;RECEIVED;CM
18;0;-104.92338044668244;18.107519423236994;102.912;8;125;14;868100000;868100000;1303.7656998095938;2.5850325643951386;RECEIVED;CM
66;0;-90.68332450600614;32.34757536391329;185.344;10;250;14;867300000;867300000;1443.2477264835723;4.655630787617115;RECEIVED;CM
42;0;-108.50507312016907;14.525826749750365;1318.912;12;125;14;868300000;868300000;1153.795909162448;33.12957157155162;RECEIVED;CM
50;0;-104.58671308352962;18.44418678638982;92.672;10;500;14;867100000;867100000;1550.3512505235708;2.3278153938085575;RECEIVED;CM
67;0;-126.45241275542574;-3.421512885506303;1318.912;12;125;14;867900000;867900000;1949.39169999259;33.12957157155162;RECEIVED;CM
1;0;-113.34337977729682;9.68752009262262;185.344;9;125;14;868100000;868100000;1392.5749530994733;4.655630787617115;RECEIVED;CM
77;0;-115.1458978178137;7.885002052105733;185.344;9;125;14;867900000;867900000;1877.7198939138925;4.655630787617115;RECEIVED;CM
82;0;-110.03145858350172;12.99944128641772;329.728;11;250;14;868300000;868300000;744.7751338491371;8.282392892887906;RECEIVED;CM
35;0;-88.24114096046385;34.789758909455585;92.672;10;500;14;867700000;867700000;1050.6807317163477;2.3278153938085575;RECEIVED;CM
91;0;-117.87460262461795;5.156297245301488;56.57600000000001;7;125;14;868500000;868500000;737.787232201805;1.4211248674908599;RECEIVED;CM
62;0;-122.30433856730019;0.7265613026192455;741.376;11;125;14;867300000;867300000;1922.9583978859241;18.62252315046846;RECEIVED;CM
13;0;-121.38348970821264;1.6474101617068015;185.344;9;125;14;867300000;867300000;282.02836736753983;4.655630787617115;RECEIVED;CM
57;0;-111.644050715164;11.386849154755438;659.456;12;250;14;867300000;867300000;1361.2556703279513;16.56478578577581;RECEIVED;CM
72;0;-105.03291142537623;17.99798844454321;56.57600000000001;7;125;14;867500000;867500000;1918.729266988962;1.4211248674908599;RECEIVED;CM
62;0;-111.57410999252862;11.456789877390818;102.912;8;125;14;867700000;867700000;1922.9583978859241;2.5850325643951386;RECEIVED;CM
13;0;-107.66636218467296;15.364537685246475;741.376;11;125;14;867900000;867900000;282.02836736753983;18.62252315046846;RECEIVED;CM
81;0;-111.79778208999856;11.233117779920875;185.344;10;250;14;868500000;868500000;1009.8440473657306;4.655630787617115;RECEIVED;CH
0;0;-110.76911843396952;12.261781435949914;370.688;10;125;14;868500000;868500000;228.7575135378071;9.31126157523423;RECEIVED;CM
31;0;-125.04752574450606;-2.016625874586623;329.728;12;500;14;867900000;867900000;1898.811470367714;8.282392892887906;RECEIVED;CM
35;0;-118.69180257420126;4.339097295718176;329.728;12;500;14;867500000;867500000;1050.6807317163477;8.282392892887906;RECEIVED;CM
74;0;-97.88291191188733;25.147987958032104;370.688;10;125;14;868300000;868300000;1327.5258942860587;9.31126157523423;RECEIVED;CM
95;0;-110.31976006313852;12.71113980678092;28.288000000000004;7;250;14;867500000;867500000;1172.8687053545252;0.7105624337454299;RECEIVED;CM
64;0;-116.19823584566629;6.832664024253148;51.456;8;250;14;868500000;868500000;1234.1219550757535;1.2925162821975693;RECEIVED;CM
66;0;-105.12187129108275;17.909028578836683;659.456;12;250;14;867900000;867900000;1443.2477264835723;16.56478578577581;RECEIVED;CM
11;0;-112.56286415080298;10.468035719116457;28.288000000000004;7;250;14;868100000;868100000;1005.3024420541312;0.7105624337454299;RECEIVED;CM
5;0;-102.67929437712664;20.3516054927928;185.344;10;250;14;868300000;868300000;1018.6014922431638;4.655630787617115;RECEIVED;CM
