node_id,x,y,cluster_id,role,residual_energy_J,alive
0,93,-209,0,CM,0.98863,YES
5,-893,490,0,CM,0.981357,YES
13,-282,4,0,CM,0.993737,YES
17,-589,16,0,CM,0.99585,YES
20,-466,-103,0,CM,0.997243,YES
22,-532,60,0,CM,0.994867,YES
24,-1578,-254,0,CM,0.981146,YES
27,-625,-437,0,CH,0.988072,YES
28,-168,-9,0,CM,0.992139,YES
32,-1781,-751,0,CM,0.971281,YES
34,-817,304,0,CM,0.988261,YES
41,99,15,0,CM,0.98541,YES
43,-1033,145,0,CM,0.989876,YES
45,-624,-479,0,CM,0.999945,YES
51,-345,312,0,CM,0.987192,YES
58,-1849,-118,0,CM,0.967981,YES
61,-1247,-1187,0,CM,0.980992,YES
64,-1204,-271,0,CM,0.992724,YES
66,-1410,-308,0,CM,0.987323,YES
67,-1928,-288,0,CM,0.96558,YES
70,-458,-791,0,CM,0.996916,YES
89,-1256,-630,0,CM,0.991272,YES
92,-37,-426,0,CM,0.993063,YES
94,-350,-493,0,CM,0.998405,YES
96,59,-372,0,CM,0.990538,YES
99,-916,-817,0,CM,0.995398,YES
7,-708,1859,1,CM,0.992119,YES
15,33,1435,1,CM,0.994205,YES
18,-182,1291,1,CM,0.998199,YES
19,-467,1677,1,CM,0.996745,YES
21,193,1927,1,CM,0.982419,YES
23,-435,1221,1,CM,0.999881,YES
35,-169,1037,1,CM,0.996913,YES
37,-283,1651,1,CM,0.996376,YES
39,-87,888,1,CM,0.993896,YES
46,605,1771,1,CM,0.971515,YES
47,478,1931,1,CM,0.973018,YES
48,-837,1110,1,CM,0.996887,YES
52,-906,1605,1,CM,0.994172,YES
57,-1056,859,1,CM,0.989883,YES
62,-205,1912,1,CM,0.990352,YES
72,-1401,1311,1,CM,0.982989,YES
76,-806,1596,1,CM,0.995794,YES
77,-1054,1554,1,CM,0.991834,YES
83,-480,1275,1,CH,0.962595,YES
84,-1466,928,1,CM,0.978128,YES
86,-1370,818,1,CM,0.979961,YES
87,-208,1535,1,CM,0.997148,YES
93,-864,1032,1,CM,0.99585,YES
95,-561,1030,1,CM,0.998648,YES
98,-933,1576,1,CM,0.994064,YES
3,848,-575,2,CM,0.997599,YES
8,1516,-1304,2,CM,0.98808,YES
31,1821,-538,2,CM,0.978088,YES
36,847,-920,2,CH,0.968582,YES
38,1009,-1625,2,CM,0.989515,YES
42,998,-579,2,CM,0.997198,YES
44,1194,-1287,2,CM,0.994878,YES
49,1058,-1535,2,CM,0.991525,YES
63,544,-500,2,CM,0.994616,YES
65,1619,-804,2,CM,0.987791,YES
69,1062,-1327,2,CM,0.995743,YES
79,1486,-440,2,CM,0.987206,YES
6,-114,-1958,3,CM,0.994026,YES
12,225,-1287,3,CM,0.999084,YES
14,424,-1716,3,CM,0.996442,YES
16,213,-1746,3,CM,0.997996,YES
25,709,-1825,3,CM,0.989687,YES
33,-674,-1874,3,CM,0.984625,YES
40,95,-1454,3,CH,0.957373,YES
50,-33,-1550,3,CM,0.999468,YES
56,260,-1946,3,CM,0.994594,YES
71,92,-1436,3,CM,0.999973,YES
73,223,-1475,3,CM,0.999644,YES
80,328,-1640,3,CM,0.998202,YES
88,-285,-1193,3,CM,0.99573,YES
97,294,-669,3,CM,0.986863,YES
1,1159,772,4,CM,0.99705,YES
2,457,32,4,CM,0.991509,YES
4,649,686,4,CM,0.998889,YES
9,848,265,4,CM,0.998286,YES
10,1546,833,4,CM,0.988561,YES
11,323,952,4,CM,0.991436,YES
26,857,933,4,CM,0.997134,YES
29,1624,433,4,CM,0.987478,YES
30,806,-152,4,CM,0.989927,YES
53,1218,1242,4,CM,0.987756,YES
54,372,-92,4,CM,0.987145,YES
55,938,225,4,CM,0.997608,YES
59,1175,570,4,CM,0.997772,YES
60,1242,550,4,CM,0.996795,YES
68,1662,841,4,CM,0.98494,YES
74,985,890,4,CM,0.997346,YES
75,184,223,4,CM,0.989077,YES
78,766,1709,4,CM,0.973273,YES
81,843,556,4,CH,0.979341,YES
82,347,659,4,CM,0.994847,YES
85,1194,563,4,CM,0.997515,YES
90,1693,1036,4,CM,0.980922,YES
91,711,197,4,CM,0.997054,YES
