cluster_id,sent,received,lost,collided,PDR,energy_J,bits_per_joule
0,242,236,6,0,0.9752,1.675968,22530.2685
1,295,293,1,1,0.9932,2.162608,21677.5299
2,180,176,2,2,0.9778,1.056696,26649.0933
3,253,247,6,0,0.9763,1.537492,25704.2068
4,232,225,6,1,0.9698,1.496541,24055.4729
