node_id,x,y,cluster_id,role,residual_energy_J,alive
14,1603,481,0,CM,0.993081,YES
15,1162,1529,0,CM,0.976784,YES
17,883,504,0,CM,0.999591,YES
19,1737,903,0,CM,0.985694,YES
23,625,1100,0,CM,0.988781,YES
32,1429,745,0,CM,0.994967,YES
34,1679,579,0,CM,0.990915,YES
50,1187,-113,0,CM,0.992783,YES
56,1755,-134,0,CM,0.981953,YES
64,1016,462,0,CH,0.974845,YES
65,679,-32,0,CM,0.992828,YES
66,253,549,0,CM,0.988185,YES
72,570,1228,0,CM,0.984267,YES
75,1491,894,0,CM,0.991735,YES
76,1396,1316,0,CM,0.982506,YES
81,215,263,0,CM,0.986356,YES
83,898,852,0,CM,0.99666,YES
86,660,300,0,CM,0.99692,YES
89,585,714,0,CM,0.994995,YES
92,1194,1116,0,CM,0.990792,YES
97,1316,1157,0,CM,0.988519,YES
3,-664,36,1,CM,0.991857,YES
5,-1358,866,1,CM,0.991666,YES
7,-1004,661,1,CM,0.994776,YES
12,-1763,-481,1,CM,0.985133,YES
13,-1839,-88,1,CM,0.991566,YES
16,-798,372,1,CM,0.995066,YES
22,-1641,702,1,CM,0.992744,YES
27,-1406,-44,1,CM,0.998152,YES
28,-1908,49,1,CM,0.991256,YES
29,-907,237,1,CM,0.997313,YES
30,-1548,452,1,CM,0.997444,YES
31,-1272,227,1,CH,0.966336,YES
36,-1029,386,1,CM,0.998293,YES
39,-1265,1083,1,CM,0.985324,YES
42,-1235,1064,1,CM,0.985941,YES
43,-1832,-170,1,CM,0.990556,YES
46,-1786,575,1,CM,0.992274,YES
61,-1648,239,1,CM,0.99715,YES
62,-1766,513,1,CM,0.993463,YES
67,-1037,393,1,CM,0.998324,YES
71,-1819,-43,1,CM,0.992538,YES
73,-1228,619,1,CM,0.996868,YES
74,-1194,489,1,CM,0.998485,YES
96,-998,724,1,CM,0.993538,YES
0,187,1887,2,CM,0.979717,YES
4,-90,1723,2,CM,0.989904,YES
10,83,561,2,CM,0.98768,YES
20,75,1231,2,CM,0.993884,YES
33,-411,1788,2,CM,0.991022,YES
37,-466,1121,2,CH,0.970349,YES
41,-110,1569,2,CM,0.993431,YES
48,-156,710,2,CM,0.99468,YES
54,417,1270,2,CM,0.983942,YES
60,-976,1441,2,CM,0.99273,YES
82,-397,623,2,CM,0.994925,YES
84,-647,682,2,CM,0.99547,YES
88,-552,1115,2,CM,0.999831,YES
93,-252,1578,2,CM,0.994887,YES
98,-408,1840,2,CM,0.989573,YES
9,-892,-257,3,CM,0.992425,YES
18,-568,-551,3,CM,0.999297,YES
21,-1077,-1583,3,CM,0.977772,YES
24,-1148,-1304,3,CM,0.98412,YES
26,-1310,-540,3,CM,0.98563,YES
35,-481,-714,3,CH,0.984936,YES
44,-751,-139,3,CM,0.991909,YES
45,-399,-280,3,CM,0.996078,YES
49,-1273,-804,3,CM,0.987273,YES
51,-648,-341,3,CM,0.99664,YES
52,-1102,-1505,3,CM,0.979754,YES
53,-274,48,3,CM,0.98751,YES
57,-1252,-481,3,CM,0.987005,YES
63,-780,-1616,3,CM,0.98192,YES
70,-1163,-418,3,CM,0.988925,YES
80,-166,-796,3,CM,0.997861,YES
85,-903,-1695,3,CM,0.977171,YES
87,-528,-1058,3,CM,0.997569,YES
90,-1300,-1466,3,CM,0.975255,YES
91,-1347,-784,3,CM,0.984883,YES
99,-289,-597,3,CM,0.998969,YES
1,1304,-452,4,CM,0.994386,YES
2,270,-1468,4,CM,0.981233,YES
6,1672,-885,4,CM,0.984707,YES
8,1153,-1179,4,CM,0.992715,YES
11,61,-348,4,CM,0.986211,YES
25,566,-1313,4,CM,0.990482,YES
38,1222,-232,4,CM,0.992905,YES
40,942,-1251,4,CM,0.993043,YES
47,555,-96,4,CM,0.991851,YES
55,961,-828,4,CM,0.99913,YES
58,1816,-616,4,CM,0.980231,YES
59,1025,-494,4,CM,0.998524,YES
68,824,-674,4,CH,0.977116,YES
69,222,-1399,4,CM,0.982219,YES
77,188,-891,4,CM,0.990948,YES
78,197,-257,4,CM,0.98864,YES
79,427,-1236,4,CM,0.990511,YES
94,404,-1038,4,CM,0.993802,YES
95,699,-1517,4,CM,0.985455,YES
