node_id,x,y,cluster_id,role,residual_energy_J,alive
12,231,1284,0,CH,0.965752,YES
24,872,1388,0,CM,0.991546,YES
25,783,1610,0,CM,0.99176,YES
29,1127,1405,0,CM,0.983631,YES
32,715,1148,0,CM,0.994925,YES
38,569,940,0,CM,0.995328,YES
41,-107,1657,0,CM,0.994913,YES
55,390,952,0,CM,0.99727,YES
58,816,1348,0,CM,0.993054,YES
59,347,556,0,CM,0.989111,YES
62,-97,1994,0,CM,0.987746,YES
66,-65,1667,0,CM,0.995294,YES
74,-463,1632,0,CM,0.987925,YES
78,996,1339,0,CM,0.988215,YES
81,389,1784,0,CM,0.994481,YES
94,-6,703,0,CM,0.992105,YES
98,162,619,0,CM,0.99104,YES
99,-512,1894,0,CM,0.981497,YES
0,-1436,-640,1,CM,0.998583,YES
1,-1228,-803,1,CH,0.956747,YES
9,-1281,-267,1,CM,0.994178,YES
20,-1386,-1393,1,CM,0.992519,YES
39,-1316,-733,1,CM,0.999727,YES
42,-1358,-721,1,CM,0.999508,YES
45,-819,-1677,1,CM,0.981357,YES
48,-1128,-221,1,CM,0.993006,YES
51,-612,-319,1,CM,0.987706,YES
60,-569,-1544,1,CM,0.980313,YES
67,-586,-529,1,CM,0.990235,YES
77,-1471,-553,1,CM,0.997549,YES
79,-713,-446,1,CM,0.992127,YES
83,-473,-1875,1,CM,0.965596,YES
87,-626,-1402,1,CM,0.985556,YES
90,-815,-1772,1,CM,0.977789,YES
97,-571,-465,1,CM,0.989062,YES
2,-483,1295,2,CM,0.986549,YES
7,-258,293,2,CM,0.990679,YES
8,-850,1056,2,CM,0.995375,YES
10,-1684,217,2,CM,0.984395,YES
11,-878,577,2,CH,0.977705,YES
13,-607,840,2,CM,0.997128,YES
30,-1373,1178,2,CM,0.987855,YES
34,-1581,1017,2,CM,0.986224,YES
37,-275,884,2,CM,0.990823,YES
40,-514,541,2,CM,0.997304,YES
50,-383,630,2,CM,0.995023,YES
54,-698,1254,2,CM,0.990165,YES
65,-836,-51,2,CM,0.992057,YES
72,-802,435,2,CM,0.999461,YES
82,-1735,246,2,CM,0.9831,YES
86,-659,1649,2,CM,0.976037,YES
89,-1616,712,2,CM,0.988723,YES
92,-1238,1479,2,CM,0.981116,YES
96,-916,173,2,CM,0.996687,YES
3,876,656,3,CM,0.9953,YES
4,733,-76,3,CM,0.991263,YES
15,1239,673,3,CM,0.997788,YES
16,566,560,3,CM,0.989836,YES
17,516,374,3,CM,0.98936,YES
19,1083,-176,3,CM,0.994095,YES
27,1197,-75,3,CM,0.996458,YES
33,1579,-110,3,CM,0.993649,YES
35,1835,188,3,CM,0.99252,YES
46,920,331,3,CM,0.997878,YES
49,1471,-183,3,CM,0.993437,YES
53,1528,1206,3,CM,0.983437,YES
56,784,-57,3,CM,0.992564,YES
68,1070,-42,3,CM,0.996425,YES
69,1244,342,3,CH,0.966469,YES
71,1821,471,3,CM,0.992989,YES
73,1826,513,3,CM,0.992621,YES
76,1536,-80,3,CM,0.994713,YES
80,884,507,3,CM,0.996843,YES
84,1738,861,3,CM,0.989712,YES
85,1620,1086,3,CM,0.986082,YES
5,151,-731,4,CM,0.99836,YES
6,186,-1908,4,CM,0.978583,YES
14,-274,-1260,4,CM,0.988601,YES
18,-85,-637,4,CM,0.994251,YES
21,236,-110,4,CM,0.987274,YES
22,1032,-984,4,CM,0.991442,YES
23,1255,-1198,4,CM,0.982981,YES
26,-114,-1557,4,CM,0.986182,YES
28,772,-956,4,CM,0.996905,YES
31,-99,-277,4,CM,0.987706,YES
36,851,-1038,4,CM,0.995216,YES
43,65,-1711,4,CM,0.98455,YES
44,182,-456,4,CM,0.995336,YES
47,224,-872,4,CM,0.999453,YES
52,-159,-1032,4,CM,0.993675,YES
57,164,-948,4,CM,0.998943,YES
61,762,-1142,4,CM,0.995897,YES
63,1235,-715,4,CM,0.984896,YES
64,282,-1221,4,CM,0.997616,YES
70,393,-704,4,CM,0.999264,YES
75,385,-893,4,CH,0.980802,YES
88,-69,-1687,4,CM,0.983249,YES
91,-24,-1788,4,CM,0.980614,YES
93,558,-923,4,CM,0.999363,YES
95,619,-1083,4,CM,0.998163,YES
