cluster_id,sent,received,lost,collided,PDR,energy_J,bits_per_joule
0,212,202,9,1,0.9528,1.580056,20454.9694
1,208,197,10,1,0.9471,1.25434,25128.7443
2,248,242,6,0,0.9758,1.60503,24124.1548
3,249,247,2,0,0.992,1.700736,23236.9985
4,303,292,9,2,0.9637,1.839992,25391.4178
